event_id,hs_contact_id,event_type,event_at_utc,campaign,_synced_at
EVT-0000091,HS-000040,EmailClick,2026-01-01 00:52:01,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000092,HS-000041,DemoRequest,2025-11-15 00:11:42,2025-Q4-Webinar-Series,2026-04-01 06:45:00
EVT-0000093,HS-000042,Webinar,2025-10-14 12:33:00,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000094,HS-000043,Webinar,2026-03-03 07:33:06,Content-Syndication,2026-04-01 06:45:00
EVT-0000095,HS-000044,Webinar,2025-11-15 18:26:26,Always-On-Search,2026-04-01 06:45:00
EVT-0000096,HS-000044,EmailClick,2025-11-13 14:28:18,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000097,HS-000044,EmailClick,2025-11-17 08:24:07,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000098,HS-000044,EmailClick,2025-11-13 05:05:33,Gartner-Retargeting,2026-04-01 06:45:00
EVT-0000099,HS-000045,ContentDownload,2026-02-23 16:56:59,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000100,HS-000046,FormFill,2025-10-14 15:28:06,2025-Q4-Webinar-Series,2026-04-01 06:45:00
EVT-0000101,HS-000047,Webinar,2026-01-07 08:15:21,Content-Syndication,2026-04-01 06:45:00
EVT-0000102,HS-000047,ContentDownload,2026-01-06 10:49:47,2025-Q4-Webinar-Series,2026-04-01 06:45:00
EVT-0000103,HS-000047,Webinar,2026-01-14 04:57:44,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000104,HS-000048,ContentDownload,2025-12-18 10:45:11,Content-Syndication,2026-04-01 06:45:00
EVT-0000105,HS-000048,ContentDownload,2025-12-19 16:59:46,Gartner-Retargeting,2026-04-01 06:45:00
EVT-0000106,HS-000048,DemoRequest,2025-12-19 13:09:55,Gartner-Retargeting,2026-04-01 06:45:00
EVT-0000107,HS-000048,EmailClick,2025-12-18 13:59:43,Always-On-Search,2026-04-01 06:45:00
EVT-0000108,HS-000049,FormFill,2026-02-25 17:16:42,Content-Syndication,2026-04-01 06:45:00
EVT-0000109,HS-000049,EmailClick,2026-02-23 11:28:47,Always-On-Search,2026-04-01 06:45:00
EVT-0000110,HS-000049,FormFill,2026-02-23 17:47:17,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000111,HS-000049,Webinar,2026-02-23 11:54:03,2025-Q4-Webinar-Series,2026-04-01 06:45:00
EVT-0000112,HS-000050,Webinar,2025-11-24 19:10:05,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000113,HS-000050,ContentDownload,2025-11-24 21:34:10,Gartner-Retargeting,2026-04-01 06:45:00
EVT-0000114,HS-000051,FormFill,2026-03-12 02:20:39,Gartner-Retargeting,2026-04-01 06:45:00
EVT-0000115,HS-000052,DemoRequest,2025-12-01 08:04:55,Content-Syndication,2026-04-01 06:45:00
EVT-0000116,HS-000052,DemoRequest,2025-11-30 01:35:37,Always-On-Search,2026-04-01 06:45:00
EVT-0000117,HS-000052,DemoRequest,2025-11-27 11:20:08,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000118,HS-000053,ContentDownload,2025-12-01 01:52:35,Content-Syndication,2026-04-01 06:45:00
EVT-0000119,HS-000053,DemoRequest,2025-12-01 01:52:35,Always-On-Search,2026-04-01 06:45:00
EVT-0000120,HS-000054,EmailClick,2025-10-18 18:32:59,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000121,HS-000054,Webinar,2025-10-20 03:37:55,Always-On-Search,2026-04-01 06:45:00
EVT-0000122,HS-000054,Webinar,2025-10-19 19:06:10,2025-Q4-Webinar-Series,2026-04-01 06:45:00
EVT-0000123,HS-000055,ContentDownload,2025-10-18 17:15:40,Always-On-Search,2026-04-01 06:45:00
EVT-0000124,HS-000056,EmailClick,2025-12-15 18:35:40,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000125,HS-000056,Webinar,2025-12-15 18:35:40,Always-On-Search,2026-04-01 06:45:00
EVT-0000126,HS-000056,FormFill,2025-12-15 18:35:40,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000127,HS-000057,ContentDownload,2025-09-08 20:12:38,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000128,HS-000057,Webinar,2025-09-05 04:58:54,Always-On-Search,2026-04-01 06:45:00
EVT-0000129,HS-000057,EmailClick,2025-09-05 11:47:17,2025-Q4-Webinar-Series,2026-04-01 06:45:00
EVT-0000130,HS-000057,DemoRequest,2025-09-05 07:34:22,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000131,HS-000058,DemoRequest,2026-01-21 09:49:51,Always-On-Search,2026-04-01 06:45:00
EVT-0000132,HS-000058,DemoRequest,2026-01-21 09:49:51,Always-On-Search,2026-04-01 06:45:00
EVT-0000133,HS-000059,EmailClick,2025-11-10 02:07:39,Content-Syndication,2026-04-01 06:45:00
EVT-0000134,HS-000060,EmailClick,2025-11-25 15:42:08,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000135,HS-000061,FormFill,2026-03-25 05:28:29,Gartner-Retargeting,2026-04-01 06:45:00
EVT-0000136,HS-000062,ContentDownload,2025-12-19 15:57:21,Content-Syndication,2026-04-01 06:45:00
EVT-0000137,HS-000062,DemoRequest,2025-12-19 15:57:21,Always-On-Search,2026-04-01 06:45:00
EVT-0000138,HS-000063,DemoRequest,2026-03-13 11:28:05,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000139,HS-000063,DemoRequest,2026-03-13 11:28:05,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000140,HS-000063,ContentDownload,2026-03-13 11:28:05,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000141,HS-000063,Webinar,2026-03-13 11:28:05,Always-On-Search,2026-04-01 06:45:00
EVT-0000142,HS-000064,ContentDownload,2025-10-02 16:19:34,Content-Syndication,2026-04-01 06:45:00
EVT-0000143,HS-000064,DemoRequest,2025-10-04 09:14:48,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000144,HS-000065,Webinar,2026-01-05 09:29:19,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000145,HS-000065,EmailClick,2026-01-11 10:02:24,Gartner-Retargeting,2026-04-01 06:45:00
EVT-0000146,HS-000065,FormFill,2026-01-05 20:25:14,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000147,HS-000065,FormFill,2026-01-09 09:24:11,Always-On-Search,2026-04-01 06:45:00
EVT-0000148,HS-000066,Webinar,2025-09-24 23:00:57,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000149,HS-000067,EmailClick,2025-10-13 23:56:48,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000150,HS-000067,EmailClick,2025-10-13 23:56:48,Gartner-Retargeting,2026-04-01 06:45:00
EVT-0000151,HS-000067,ContentDownload,2025-10-13 23:56:48,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000152,HS-000068,DemoRequest,2025-10-21 00:45:07,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000153,HS-000069,ContentDownload,2026-01-05 00:54:32,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000154,HS-000069,DemoRequest,2026-01-05 00:54:32,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000155,HS-000069,DemoRequest,2026-01-05 00:54:32,Always-On-Search,2026-04-01 06:45:00
EVT-0000156,HS-000070,FormFill,2025-11-20 06:15:52,Gartner-Retargeting,2026-04-01 06:45:00
EVT-0000157,HS-000070,Webinar,2025-11-20 01:40:55,Always-On-Search,2026-04-01 06:45:00
EVT-0000158,HS-000070,Webinar,2025-11-19 18:07:02,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000159,HS-000070,ContentDownload,2025-11-18 17:02:45,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000160,HS-000071,EmailClick,2025-09-24 03:06:35,Gartner-Retargeting,2026-04-01 06:45:00
EVT-0000161,HS-000071,FormFill,2025-09-24 03:06:35,Gartner-Retargeting,2026-04-01 06:45:00
EVT-0000162,HS-000071,FormFill,2025-09-24 03:06:35,Content-Syndication,2026-04-01 06:45:00
EVT-0000163,HS-000072,FormFill,2025-09-02 06:50:28,Gartner-Retargeting,2026-04-01 06:45:00
EVT-0000164,HS-000072,DemoRequest,2025-09-02 06:50:28,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000165,HS-000072,Webinar,2025-09-02 06:50:28,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000166,HS-000072,ContentDownload,2025-09-02 06:50:28,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000167,HS-000073,ContentDownload,2025-11-14 23:16:27,Gartner-Retargeting,2026-04-01 06:45:00
EVT-0000168,HS-000073,EmailClick,2025-11-11 14:17:15,Gartner-Retargeting,2026-04-01 06:45:00
EVT-0000169,HS-000074,EmailClick,2025-08-22 21:25:59,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000170,HS-000075,FormFill,2025-12-27 18:54:45,2025-Q4-Webinar-Series,2026-04-01 06:45:00
EVT-0000171,HS-000076,DemoRequest,2025-09-03 11:11:54,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000172,HS-000076,ContentDownload,2025-09-04 20:09:52,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000173,HS-000076,Webinar,2025-09-04 15:38:38,Content-Syndication,2026-04-01 06:45:00
EVT-0000174,HS-000076,Webinar,2025-09-03 21:03:25,Gartner-Retargeting,2026-04-01 06:45:00
EVT-0000175,HS-000077,ContentDownload,2025-12-11 20:39:16,Always-On-Search,2026-04-01 06:45:00
EVT-0000176,HS-000077,ContentDownload,2025-12-11 20:39:16,2025-Q4-Webinar-Series,2026-04-01 06:45:00
EVT-0000177,HS-000077,Webinar,2025-12-11 20:39:16,Content-Syndication,2026-04-01 06:45:00
EVT-0000178,HS-000078,EmailClick,2026-02-12 21:35:52,Always-On-Search,2026-04-01 06:45:00
EVT-0000179,HS-000078,EmailClick,2026-02-13 06:24:29,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000180,HS-000079,Webinar,2025-11-01 04:48:08,Gartner-Retargeting,2026-04-01 06:45:00
EVT-0000181,HS-000079,Webinar,2025-11-01 04:48:08,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000182,HS-000080,FormFill,2025-10-25 16:09:45,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000183,HS-000080,Webinar,2025-10-25 16:09:45,Content-Syndication,2026-04-01 06:45:00
EVT-0000184,HS-000081,DemoRequest,2025-09-29 17:36:39,Always-On-Search,2026-04-01 06:45:00
EVT-0000185,HS-000082,ContentDownload,2025-12-13 12:43:59,Content-Syndication,2026-04-01 06:45:00
EVT-0000186,HS-000082,ContentDownload,2025-12-22 23:23:38,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000187,HS-000083,EmailClick,2025-09-13 03:27:49,Always-On-Search,2026-04-01 06:45:00
EVT-0000188,HS-000084,Webinar,2026-03-24 18:19:05,2025-Q4-Webinar-Series,2026-04-01 06:45:00
EVT-0000189,HS-000084,EmailClick,2026-03-24 18:19:05,Content-Syndication,2026-04-01 06:45:00
EVT-0000190,HS-000085,FormFill,2025-09-10 09:00:21,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000191,HS-000085,Webinar,2025-09-10 14:35:24,Gartner-Retargeting,2026-04-01 06:45:00
EVT-0000192,HS-000085,FormFill,2025-09-09 19:08:54,Always-On-Search,2026-04-01 06:45:00
EVT-0000193,HS-000085,Webinar,2025-09-11 01:46:37,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000194,HS-000086,Webinar,2025-10-31 13:32:12,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000195,HS-000086,DemoRequest,2025-10-31 07:32:45,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000196,HS-000087,EmailClick,2026-02-17 00:10:31,2025-Q4-Webinar-Series,2026-04-01 06:45:00
EVT-0000197,HS-000087,DemoRequest,2026-02-18 06:52:29,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000198,HS-000088,FormFill,2026-01-03 19:04:07,Content-Syndication,2026-04-01 06:45:00
EVT-0000199,HS-000089,DemoRequest,2026-03-10 12:51:48,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000200,HS-000089,ContentDownload,2026-03-01 06:46:23,Always-On-Search,2026-04-01 06:45:00
EVT-0000201,HS-000089,Webinar,2026-03-08 21:14:59,Content-Syndication,2026-04-01 06:45:00
EVT-0000202,HS-000090,ContentDownload,2025-10-30 22:46:40,Content-Syndication,2026-04-01 06:45:00
EVT-0000203,HS-000090,FormFill,2025-10-30 20:41:25,Always-On-Search,2026-04-01 06:45:00
EVT-0000204,HS-000090,FormFill,2025-11-02 00:12:36,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000205,HS-000091,FormFill,2025-10-11 11:19:09,Always-On-Search,2026-04-01 06:45:00
EVT-0000206,HS-000091,ContentDownload,2025-10-18 22:20:48,Content-Syndication,2026-04-01 06:45:00
EVT-0000207,HS-000091,Webinar,2025-10-19 01:03:37,2025-Q4-Webinar-Series,2026-04-01 06:45:00
EVT-0000208,HS-000092,DemoRequest,2025-09-04 17:36:31,Gartner-Retargeting,2026-04-01 06:45:00
EVT-0000209,HS-000093,DemoRequest,2025-11-15 14:58:28,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000210,HS-000093,Webinar,2025-11-15 14:58:28,2025-Q4-Webinar-Series,2026-04-01 06:45:00
EVT-0000211,HS-000093,EmailClick,2025-11-15 14:58:28,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000212,HS-000093,DemoRequest,2025-11-15 14:58:28,2025-Q4-Webinar-Series,2026-04-01 06:45:00
EVT-0000213,HS-000094,DemoRequest,2025-09-20 01:24:03,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000214,HS-000094,DemoRequest,2025-09-20 01:24:03,Gartner-Retargeting,2026-04-01 06:45:00
EVT-0000215,HS-000094,FormFill,2025-09-20 01:24:03,Content-Syndication,2026-04-01 06:45:00
EVT-0000216,HS-000094,EmailClick,2025-09-20 01:24:03,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000217,HS-000095,DemoRequest,2025-11-23 14:05:13,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000218,HS-000095,Webinar,2025-11-23 14:05:13,2025-Q4-Webinar-Series,2026-04-01 06:45:00
EVT-0000219,HS-000095,DemoRequest,2025-11-23 14:05:13,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000220,HS-000096,ContentDownload,2025-10-23 11:26:39,Always-On-Search,2026-04-01 06:45:00
EVT-0000221,HS-000096,DemoRequest,2025-10-23 11:26:39,2025-Q4-Webinar-Series,2026-04-01 06:45:00
EVT-0000222,HS-000097,Webinar,2026-01-20 12:06:36,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000223,HS-000097,ContentDownload,2026-01-17 14:00:03,Content-Syndication,2026-04-01 06:45:00
EVT-0000224,HS-000097,DemoRequest,2026-01-19 18:23:34,Content-Syndication,2026-04-01 06:45:00
EVT-0000225,HS-000097,ContentDownload,2026-01-18 02:50:45,Always-On-Search,2026-04-01 06:45:00
EVT-0000226,HS-000098,EmailClick,2025-09-22 02:56:02,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000227,HS-000099,Webinar,2025-12-04 16:48:15,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000228,HS-000099,FormFill,2025-12-07 05:40:50,2025-Q4-Webinar-Series,2026-04-01 06:45:00
EVT-0000229,HS-000099,EmailClick,2025-12-03 19:03:25,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000230,HS-000100,Webinar,2025-09-18 21:42:02,2025-Q4-Webinar-Series,2026-04-01 06:45:00
EVT-0000231,HS-000100,ContentDownload,2025-09-18 21:42:02,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000232,HS-000100,Webinar,2025-09-18 21:42:02,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000233,HS-000100,EmailClick,2025-09-18 21:42:02,2025-Q4-Webinar-Series,2026-04-01 06:45:00
EVT-0000234,HS-000101,FormFill,2026-01-01 09:35:28,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000235,HS-000101,Webinar,2026-01-01 09:35:28,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000236,HS-000101,ContentDownload,2026-01-01 09:35:28,Content-Syndication,2026-04-01 06:45:00
EVT-0000237,HS-000102,DemoRequest,2025-12-04 02:55:28,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000238,HS-000102,DemoRequest,2025-11-26 01:18:43,2025-Q4-Webinar-Series,2026-04-01 06:45:00
EVT-0000239,HS-000102,DemoRequest,2025-11-28 03:58:35,Content-Syndication,2026-04-01 06:45:00
EVT-0000240,HS-000103,EmailClick,2025-12-29 19:54:28,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000241,HS-000103,EmailClick,2025-12-29 17:22:27,Always-On-Search,2026-04-01 06:45:00
EVT-0000242,HS-000103,ContentDownload,2025-12-30 06:32:35,Annual-User-Conference,2026-04-01 06:45:00
EVT-0000243,HS-000104,Webinar,2025-10-03 19:56:09,Outbound-Sequence-A,2026-04-01 06:45:00
EVT-0000244,HS-000105,Webinar,2025-10-08 17:40:36,2025-Q4-Webinar-Series,2026-04-01 06:45:00
EVT-0000245,HS-000105,EmailClick,2025-10-08 17:40:36,2025-Q4-Webinar-Series,2026-04-01 06:45:00
