score_event_id,hs_contact_id,old_score,new_score,changed_at,_synced_at
SCR-0000025,HS-000011,43,69,2026-02-11 03:59:23,2026-04-01 06:30:00
SCR-0000026,HS-000012,0,12,2025-11-18 11:49:37,2026-04-01 06:30:00
SCR-0000027,HS-000012,12,33,2025-11-25 02:58:46,2026-04-01 06:30:00
SCR-0000028,HS-000013,0,16,2026-03-05 00:31:31,2026-04-01 06:30:00
SCR-0000029,HS-000013,16,46,2026-03-09 17:31:41,2026-04-01 06:30:00
SCR-0000030,HS-000013,46,68,2026-03-10 20:59:06,2026-04-01 06:30:00
SCR-0000031,HS-000014,0,6,2025-10-20 16:26:46,2026-04-01 06:30:00
SCR-0000032,HS-000015,0,20,2026-03-06 13:34:11,2026-04-01 06:30:00
SCR-0000033,HS-000015,20,27,2026-03-12 03:41:19,2026-04-01 06:30:00
SCR-0000034,HS-000016,0,24,2026-02-20 20:50:03,2026-04-01 06:30:00
SCR-0000035,HS-000016,24,40,2026-02-27 10:35:00,2026-04-01 06:30:00
SCR-0000036,HS-000017,0,20,2025-11-22 14:07:34,2026-04-01 06:30:00
SCR-0000037,HS-000017,20,41,2025-12-05 14:14:12,2026-04-01 06:30:00
SCR-0000038,HS-000017,41,66,2025-12-06 19:52:33,2026-04-01 06:30:00
SCR-0000039,HS-000018,0,16,2025-11-26 15:38:12,2026-04-01 06:30:00
SCR-0000040,HS-000018,16,30,2025-12-11 09:52:05,2026-04-01 06:30:00
SCR-0000041,HS-000019,0,18,2025-09-24 05:17:54,2026-04-01 06:30:00
SCR-0000042,HS-000019,18,44,2025-09-30 16:42:14,2026-04-01 06:30:00
SCR-0000043,HS-000019,44,66,2025-09-30 20:12:28,2026-04-01 06:30:00
SCR-0000044,HS-000020,0,12,2025-10-23 19:54:25,2026-04-01 06:30:00
SCR-0000045,HS-000020,12,23,2025-11-07 04:48:39,2026-04-01 06:30:00
SCR-0000046,HS-000021,0,16,2025-10-15 16:50:07,2026-04-01 06:30:00
SCR-0000047,HS-000022,0,18,2026-01-22 00:54:13,2026-04-01 06:30:00
SCR-0000048,HS-000022,18,31,2026-02-06 15:35:45,2026-04-01 06:30:00
SCR-0000049,HS-000023,0,11,2025-10-16 08:53:49,2026-04-01 06:30:00
SCR-0000050,HS-000024,0,7,2026-01-18 09:23:56,2026-04-01 06:30:00
SCR-0000051,HS-000024,7,48,2026-01-24 02:41:29,2026-04-01 06:30:00
SCR-0000052,HS-000024,48,79,2026-01-26 16:24:24,2026-04-01 06:30:00
SCR-0000053,HS-000025,0,15,2025-10-16 10:34:07,2026-04-01 06:30:00
SCR-0000054,HS-000025,15,37,2025-10-29 06:35:19,2026-04-01 06:30:00
SCR-0000055,HS-000026,0,6,2026-01-03 03:56:51,2026-04-01 06:30:00
SCR-0000056,HS-000026,6,47,2026-01-09 18:11:46,2026-04-01 06:30:00
SCR-0000057,HS-000026,47,63,2026-01-10 13:43:40,2026-04-01 06:30:00
SCR-0000058,HS-000027,0,7,2025-12-26 03:31:30,2026-04-01 06:30:00
SCR-0000059,HS-000027,7,33,2025-12-29 12:16:25,2026-04-01 06:30:00
SCR-0000060,HS-000028,0,23,2025-09-18 12:43:52,2026-04-01 06:30:00
SCR-0000061,HS-000028,23,27,2025-10-06 03:41:03,2026-04-01 06:30:00
SCR-0000062,HS-000029,0,20,2025-11-18 12:57:56,2026-04-01 06:30:00
SCR-0000063,HS-000029,20,43,2025-11-26 00:55:59,2026-04-01 06:30:00
SCR-0000064,HS-000029,43,55,2025-11-26 06:31:00,2026-04-01 06:30:00
SCR-0000065,HS-000030,0,20,2025-10-21 01:37:43,2026-04-01 06:30:00
SCR-0000066,HS-000030,20,23,2025-11-09 15:22:16,2026-04-01 06:30:00
SCR-0000067,HS-000031,0,22,2026-01-08 02:38:03,2026-04-01 06:30:00
SCR-0000068,HS-000032,0,17,2026-02-01 05:21:22,2026-04-01 06:30:00
SCR-0000069,HS-000032,17,46,2026-02-07 12:33:25,2026-04-01 06:30:00
SCR-0000070,HS-000032,46,63,2026-02-09 22:27:53,2026-04-01 06:30:00
SCR-0000071,HS-000033,0,6,2025-08-28 19:39:00,2026-04-01 06:30:00
SCR-0000072,HS-000033,6,42,2025-09-02 09:35:17,2026-04-01 06:30:00
SCR-0000073,HS-000033,42,59,2025-09-04 17:41:09,2026-04-01 06:30:00
SCR-0000074,HS-000034,0,23,2026-03-05 21:21:28,2026-04-01 06:30:00
SCR-0000075,HS-000034,23,47,2026-03-11 18:20:37,2026-04-01 06:30:00
SCR-0000076,HS-000034,47,88,2026-03-13 06:27:47,2026-04-01 06:30:00
SCR-0000077,HS-000035,0,20,2026-01-24 12:51:11,2026-04-01 06:30:00
SCR-0000078,HS-000035,20,42,2026-02-04 02:40:04,2026-04-01 06:30:00
SCR-0000079,HS-000035,42,83,2026-02-06 03:57:19,2026-04-01 06:30:00
SCR-0000080,HS-000036,0,9,2026-01-04 11:34:27,2026-04-01 06:30:00
SCR-0000081,HS-000036,9,11,2026-01-15 03:05:21,2026-04-01 06:30:00
SCR-0000082,HS-000037,0,13,2026-03-26 22:20:36,2026-04-01 06:30:00
SCR-0000083,HS-000037,13,19,2026-03-31 07:55:58,2026-04-01 06:30:00
SCR-0000084,HS-000038,0,18,2025-09-19 06:57:30,2026-04-01 06:30:00
SCR-0000085,HS-000038,18,43,2025-09-24 07:26:28,2026-04-01 06:30:00
SCR-0000086,HS-000038,43,76,2025-09-26 22:43:26,2026-04-01 06:30:00
SCR-0000087,HS-000039,0,17,2025-09-19 07:16:50,2026-04-01 06:30:00
SCR-0000088,HS-000039,17,29,2025-09-25 14:22:20,2026-04-01 06:30:00
SCR-0000089,HS-000040,0,17,2025-12-26 15:04:16,2026-04-01 06:30:00
SCR-0000090,HS-000040,17,43,2026-01-04 21:08:43,2026-04-01 06:30:00
SCR-0000091,HS-000040,43,62,2026-01-05 14:16:17,2026-04-01 06:30:00
SCR-0000092,HS-000041,0,22,2025-11-15 00:11:42,2026-04-01 06:30:00
SCR-0000093,HS-000042,0,9,2025-10-11 19:46:53,2026-04-01 06:30:00
SCR-0000094,HS-000042,9,44,2025-10-17 03:41:17,2026-04-01 06:30:00
SCR-0000095,HS-000042,44,77,2025-10-18 11:31:10,2026-04-01 06:30:00
SCR-0000096,HS-000043,0,9,2026-02-28 03:17:58,2026-04-01 06:30:00
SCR-0000097,HS-000043,9,44,2026-03-03 12:19:04,2026-04-01 06:30:00
SCR-0000098,HS-000043,44,82,2026-03-05 13:27:25,2026-04-01 06:30:00
SCR-0000099,HS-000044,0,8,2025-11-10 11:19:32,2026-04-01 06:30:00
SCR-0000100,HS-000044,8,43,2025-11-21 09:26:24,2026-04-01 06:30:00
SCR-0000101,HS-000044,43,77,2025-11-22 05:17:41,2026-04-01 06:30:00
SCR-0000102,HS-000045,0,16,2026-02-10 15:26:05,2026-04-01 06:30:00
SCR-0000103,HS-000045,16,47,2026-02-27 07:47:31,2026-04-01 06:30:00
SCR-0000104,HS-000045,47,88,2026-03-01 02:38:50,2026-04-01 06:30:00
SCR-0000105,HS-000046,0,18,2025-10-14 07:06:13,2026-04-01 06:30:00
SCR-0000106,HS-000046,18,46,2025-10-16 11:41:23,2026-04-01 06:30:00
SCR-0000107,HS-000046,46,53,2025-10-19 01:30:51,2026-04-01 06:30:00
SCR-0000108,HS-000047,0,11,2026-01-05 09:18:21,2026-04-01 06:30:00
SCR-0000109,HS-000047,11,45,2026-01-15 16:52:23,2026-04-01 06:30:00
SCR-0000110,HS-000047,45,62,2026-01-16 04:26:16,2026-04-01 06:30:00
SCR-0000111,HS-000048,0,22,2025-12-16 01:43:18,2026-04-01 06:30:00
SCR-0000112,HS-000048,22,44,2025-12-20 00:38:23,2026-04-01 06:30:00
SCR-0000113,HS-000048,44,52,2025-12-22 04:55:41,2026-04-01 06:30:00
SCR-0000114,HS-000049,0,12,2026-02-22 15:21:41,2026-04-01 06:30:00
SCR-0000115,HS-000049,12,48,2026-02-26 02:55:45,2026-04-01 06:30:00
SCR-0000116,HS-000049,48,59,2026-02-27 16:42:51,2026-04-01 06:30:00
SCR-0000117,HS-000050,0,17,2025-11-23 06:28:11,2026-04-01 06:30:00
SCR-0000118,HS-000050,17,40,2025-11-28 19:19:00,2026-04-01 06:30:00
SCR-0000119,HS-000050,40,55,2025-12-01 13:41:42,2026-04-01 06:30:00
SCR-0000120,HS-000051,0,13,2026-03-08 01:54:34,2026-04-01 06:30:00
SCR-0000121,HS-000051,13,43,2026-03-12 09:15:40,2026-04-01 06:30:00
SCR-0000122,HS-000051,43,79,2026-03-12 21:49:20,2026-04-01 06:30:00
SCR-0000123,HS-000052,0,18,2025-11-27 08:42:33,2026-04-01 06:30:00
SCR-0000124,HS-000052,18,48,2025-12-02 03:54:16,2026-04-01 06:30:00
SCR-0000125,HS-000052,48,64,2025-12-05 03:31:54,2026-04-01 06:30:00
SCR-0000126,HS-000053,0,17,2025-12-01 01:52:35,2026-04-01 06:30:00
SCR-0000127,HS-000053,17,25,2025-12-06 03:22:38,2026-04-01 06:30:00
SCR-0000128,HS-000054,0,21,2025-10-16 15:43:47,2026-04-01 06:30:00
SCR-0000129,HS-000054,21,40,2025-10-20 10:00:11,2026-04-01 06:30:00
SCR-0000130,HS-000055,0,7,2025-10-18 16:18:08,2026-04-01 06:30:00
SCR-0000131,HS-000055,7,46,2025-10-29 09:43:54,2026-04-01 06:30:00
SCR-0000132,HS-000056,0,13,2025-12-15 18:35:40,2026-04-01 06:30:00
SCR-0000133,HS-000057,0,5,2025-09-05 04:33:16,2026-04-01 06:30:00
SCR-0000134,HS-000057,5,44,2025-09-10 17:47:33,2026-04-01 06:30:00
SCR-0000135,HS-000057,44,74,2025-09-10 21:17:02,2026-04-01 06:30:00
SCR-0000136,HS-000058,0,10,2026-01-21 09:49:51,2026-04-01 06:30:00
SCR-0000137,HS-000058,10,28,2026-02-05 17:20:24,2026-04-01 06:30:00
SCR-0000138,HS-000059,0,14,2025-11-06 13:01:25,2026-04-01 06:30:00
SCR-0000139,HS-000059,14,47,2025-11-10 05:25:32,2026-04-01 06:30:00
SCR-0000140,HS-000059,47,88,2025-11-10 10:40:43,2026-04-01 06:30:00
SCR-0000141,HS-000060,0,19,2025-11-25 15:42:08,2026-04-01 06:30:00
SCR-0000142,HS-000060,19,25,2025-11-28 16:48:30,2026-04-01 06:30:00
SCR-0000143,HS-000061,0,9,2026-03-20 11:55:51,2026-04-01 06:30:00
SCR-0000144,HS-000061,9,44,2026-03-26 06:05:03,2026-04-01 06:30:00
SCR-0000145,HS-000061,44,68,2026-03-28 05:06:17,2026-04-01 06:30:00
SCR-0000146,HS-000062,0,18,2025-12-19 15:57:21,2026-04-01 06:30:00
SCR-0000147,HS-000063,0,16,2026-03-13 11:28:05,2026-04-01 06:30:00
SCR-0000148,HS-000063,16,28,2026-03-30 19:29:45,2026-04-01 06:30:00
SCR-0000149,HS-000064,0,17,2025-09-29 04:51:28,2026-04-01 06:30:00
SCR-0000150,HS-000064,17,46,2025-10-06 23:01:21,2026-04-01 06:30:00
SCR-0000151,HS-000064,46,82,2025-10-08 14:58:11,2026-04-01 06:30:00
SCR-0000152,HS-000065,0,5,2026-01-04 17:24:23,2026-04-01 06:30:00
SCR-0000153,HS-000065,5,43,2026-01-12 11:21:46,2026-04-01 06:30:00
SCR-0000154,HS-000065,43,53,2026-01-13 15:52:44,2026-04-01 06:30:00
SCR-0000155,HS-000066,0,10,2025-09-21 00:35:07,2026-04-01 06:30:00
SCR-0000156,HS-000066,10,47,2025-10-02 14:34:52,2026-04-01 06:30:00
SCR-0000157,HS-000066,47,79,2025-10-04 22:25:28,2026-04-01 06:30:00
SCR-0000158,HS-000067,0,17,2025-10-13 23:56:48,2026-04-01 06:30:00
SCR-0000159,HS-000067,17,23,2025-11-01 04:20:01,2026-04-01 06:30:00
SCR-0000160,HS-000068,0,20,2025-10-21 00:45:07,2026-04-01 06:30:00
SCR-0000161,HS-000069,0,19,2026-01-05 00:54:32,2026-04-01 06:30:00
SCR-0000162,HS-000070,0,12,2025-11-18 13:27:07,2026-04-01 06:30:00
SCR-0000163,HS-000070,12,47,2025-11-22 05:27:54,2026-04-01 06:30:00
SCR-0000164,HS-000070,47,68,2025-11-25 00:26:17,2026-04-01 06:30:00
SCR-0000165,HS-000071,0,11,2025-09-24 03:06:35,2026-04-01 06:30:00
SCR-0000166,HS-000071,11,32,2025-09-28 17:10:18,2026-04-01 06:30:00
SCR-0000167,HS-000072,0,10,2025-09-02 06:50:28,2026-04-01 06:30:00
SCR-0000168,HS-000072,10,37,2025-09-20 21:56:07,2026-04-01 06:30:00
SCR-0000169,HS-000073,0,24,2025-11-05 07:49:19,2026-04-01 06:30:00
SCR-0000170,HS-000073,24,44,2025-11-16 23:48:39,2026-04-01 06:30:00
SCR-0000171,HS-000073,44,83,2025-11-19 10:45:26,2026-04-01 06:30:00
SCR-0000172,HS-000074,0,18,2025-08-21 09:52:09,2026-04-01 06:30:00
SCR-0000173,HS-000074,18,45,2025-09-04 08:41:27,2026-04-01 06:30:00
SCR-0000174,HS-000074,45,76,2025-09-04 22:30:33,2026-04-01 06:30:00
SCR-0000175,HS-000075,0,18,2025-12-25 05:05:28,2026-04-01 06:30:00
SCR-0000176,HS-000075,18,49,2026-01-06 12:02:45,2026-04-01 06:30:00
SCR-0000177,HS-000076,0,10,2025-09-03 03:22:01,2026-04-01 06:30:00
SCR-0000178,HS-000076,10,48,2025-09-05 10:03:50,2026-04-01 06:30:00
SCR-0000179,HS-000076,48,51,2025-09-06 11:17:25,2026-04-01 06:30:00
SCR-0000180,HS-000077,0,7,2025-12-11 20:39:16,2026-04-01 06:30:00
SCR-0000181,HS-000077,7,11,2025-12-23 16:39:44,2026-04-01 06:30:00
SCR-0000182,HS-000078,0,13,2026-02-11 08:54:05,2026-04-01 06:30:00
SCR-0000183,HS-000078,13,47,2026-02-16 12:05:45,2026-04-01 06:30:00
SCR-0000184,HS-000078,47,84,2026-02-19 00:40:44,2026-04-01 06:30:00
SCR-0000185,HS-000079,0,7,2025-11-01 04:48:08,2026-04-01 06:30:00
SCR-0000186,HS-000079,7,31,2025-11-07 16:04:01,2026-04-01 06:30:00
SCR-0000187,HS-000080,0,12,2025-10-25 16:09:45,2026-04-01 06:30:00
SCR-0000188,HS-000080,12,37,2025-10-28 14:18:34,2026-04-01 06:30:00
SCR-0000189,HS-000081,0,5,2025-09-27 15:29:32,2026-04-01 06:30:00
SCR-0000190,HS-000081,5,41,2025-09-30 17:33:05,2026-04-01 06:30:00
SCR-0000191,HS-000081,41,84,2025-10-02 05:38:24,2026-04-01 06:30:00
SCR-0000192,HS-000082,0,17,2025-12-13 09:18:24,2026-04-01 06:30:00
SCR-0000193,HS-000082,17,47,2025-12-28 12:26:50,2026-04-01 06:30:00
SCR-0000194,HS-000082,47,66,2025-12-29 23:41:35,2026-04-01 06:30:00
SCR-0000195,HS-000083,0,17,2025-09-13 03:27:49,2026-04-01 06:30:00
SCR-0000196,HS-000084,0,6,2026-03-24 18:19:05,2026-04-01 06:30:00
SCR-0000197,HS-000084,6,26,2026-04-03 04:17:04,2026-04-01 06:30:00
SCR-0000198,HS-000085,0,8,2025-09-06 17:34:48,2026-04-01 06:30:00
SCR-0000199,HS-000085,8,40,2025-09-12 04:19:17,2026-04-01 06:30:00
SCR-0000200,HS-000085,40,89,2025-09-13 10:39:11,2026-04-01 06:30:00
SCR-0000201,HS-000086,0,18,2025-10-27 19:53:32,2026-04-01 06:30:00
SCR-0000202,HS-000086,18,48,2025-11-01 00:24:12,2026-04-01 06:30:00
SCR-0000203,HS-000086,48,71,2025-11-01 09:46:00,2026-04-01 06:30:00
SCR-0000204,HS-000087,0,16,2026-02-16 21:35:09,2026-04-01 06:30:00
SCR-0000205,HS-000087,16,47,2026-02-24 00:03:21,2026-04-01 06:30:00
SCR-0000206,HS-000087,47,85,2026-02-25 02:54:46,2026-04-01 06:30:00
SCR-0000207,HS-000088,0,21,2026-01-03 19:04:07,2026-04-01 06:30:00
SCR-0000208,HS-000089,0,22,2026-02-28 04:27:22,2026-04-01 06:30:00
SCR-0000209,HS-000089,22,45,2026-03-10 17:09:29,2026-04-01 06:30:00
SCR-0000210,HS-000090,0,22,2025-10-29 18:30:08,2026-04-01 06:30:00
SCR-0000211,HS-000090,22,46,2025-11-02 10:10:09,2026-04-01 06:30:00
SCR-0000212,HS-000090,46,52,2025-11-05 02:09:50,2026-04-01 06:30:00
SCR-0000213,HS-000091,0,22,2025-10-10 21:39:26,2026-04-01 06:30:00
SCR-0000214,HS-000091,22,43,2025-10-19 07:38:33,2026-04-01 06:30:00
SCR-0000215,HS-000091,43,79,2025-10-21 05:44:49,2026-04-01 06:30:00
SCR-0000216,HS-000092,0,6,2025-09-04 17:36:31,2026-04-01 06:30:00
SCR-0000217,HS-000093,0,21,2025-11-15 14:58:28,2026-04-01 06:30:00
SCR-0000218,HS-000093,21,34,2025-12-03 06:21:34,2026-04-01 06:30:00
SCR-0000219,HS-000094,0,22,2025-09-20 01:24:03,2026-04-01 06:30:00
SCR-0000220,HS-000094,22,30,2025-10-06 12:53:19,2026-04-01 06:30:00
SCR-0000221,HS-000095,0,19,2025-11-23 14:05:13,2026-04-01 06:30:00
SCR-0000222,HS-000095,19,28,2025-12-04 06:04:54,2026-04-01 06:30:00
SCR-0000223,HS-000096,0,9,2025-10-23 11:26:39,2026-04-01 06:30:00
SCR-0000224,HS-000096,9,15,2025-10-31 03:22:43,2026-04-01 06:30:00
SCR-0000225,HS-000097,0,22,2026-01-17 01:52:02,2026-04-01 06:30:00
SCR-0000226,HS-000097,22,42,2026-01-22 07:44:36,2026-04-01 06:30:00
SCR-0000227,HS-000097,42,66,2026-01-23 21:34:16,2026-04-01 06:30:00
SCR-0000228,HS-000098,0,7,2025-09-22 02:56:02,2026-04-01 06:30:00
SCR-0000229,HS-000098,7,34,2025-09-27 21:30:36,2026-04-01 06:30:00
SCR-0000230,HS-000099,0,19,2025-12-02 12:04:27,2026-04-01 06:30:00
SCR-0000231,HS-000099,19,48,2025-12-09 02:50:37,2026-04-01 06:30:00
SCR-0000232,HS-000099,48,74,2025-12-09 05:03:05,2026-04-01 06:30:00
SCR-0000233,HS-000100,0,15,2025-09-18 21:42:02,2026-04-01 06:30:00
SCR-0000234,HS-000100,15,16,2025-09-20 10:15:44,2026-04-01 06:30:00
SCR-0000235,HS-000101,0,7,2026-01-01 09:35:28,2026-04-01 06:30:00
SCR-0000236,HS-000101,7,15,2026-01-20 15:53:08,2026-04-01 06:30:00
SCR-0000237,HS-000102,0,14,2025-11-25 13:46:53,2026-04-01 06:30:00
SCR-0000238,HS-000102,14,41,2025-12-06 00:47:28,2026-04-01 06:30:00
SCR-0000239,HS-000102,41,62,2025-12-08 06:33:53,2026-04-01 06:30:00
SCR-0000240,HS-000103,0,8,2025-12-28 00:10:38,2026-04-01 06:30:00
SCR-0000241,HS-000103,8,40,2026-01-01 22:53:26,2026-04-01 06:30:00
SCR-0000242,HS-000103,40,69,2026-01-04 09:39:03,2026-04-01 06:30:00
SCR-0000243,HS-000104,0,9,2025-10-03 19:56:09,2026-04-01 06:30:00
SCR-0000244,HS-000104,9,38,2025-10-19 12:19:51,2026-04-01 06:30:00
SCR-0000245,HS-000105,0,9,2025-10-08 17:40:36,2026-04-01 06:30:00
SCR-0000246,HS-000105,9,38,2025-10-24 02:16:27,2026-04-01 06:30:00
SCR-0000247,HS-000106,0,24,2026-01-11 18:35:01,2026-04-01 06:30:00
SCR-0000248,HS-000106,24,44,2026-01-19 15:05:30,2026-04-01 06:30:00
SCR-0000249,HS-000106,44,71,2026-01-19 18:10:04,2026-04-01 06:30:00
SCR-0000250,HS-000107,0,24,2025-12-27 06:46:12,2026-04-01 06:30:00
SCR-0000251,HS-000107,24,47,2025-12-29 21:54:19,2026-04-01 06:30:00
SCR-0000252,HS-000107,47,75,2025-12-30 02:17:39,2026-04-01 06:30:00
SCR-0000253,HS-000108,0,7,2026-03-26 13:32:08,2026-04-01 06:30:00
SCR-0000254,HS-000108,7,27,2026-04-13 02:45:02,2026-04-01 06:30:00
SCR-0000255,HS-000109,0,5,2026-01-20 00:27:15,2026-04-01 06:30:00
SCR-0000256,HS-000109,5,46,2026-02-02 19:49:02,2026-04-01 06:30:00
SCR-0000257,HS-000109,46,59,2026-02-04 02:28:46,2026-04-01 06:30:00
SCR-0000258,HS-000110,0,16,2026-03-03 13:48:39,2026-04-01 06:30:00
SCR-0000259,HS-000111,0,6,2026-01-16 23:11:24,2026-04-01 06:30:00
SCR-0000260,HS-000111,6,17,2026-02-03 05:35:53,2026-04-01 06:30:00
SCR-0000261,HS-000112,0,5,2026-02-16 21:06:33,2026-04-01 06:30:00
SCR-0000262,HS-000112,5,34,2026-02-19 03:21:59,2026-04-01 06:30:00
SCR-0000263,HS-000113,0,21,2025-12-25 11:54:39,2026-04-01 06:30:00
SCR-0000264,HS-000113,21,34,2026-01-03 15:49:18,2026-04-01 06:30:00
SCR-0000265,HS-000114,0,15,2025-11-12 23:51:44,2026-04-01 06:30:00
SCR-0000266,HS-000114,15,43,2025-11-19 00:07:45,2026-04-01 06:30:00
SCR-0000267,HS-000114,43,59,2025-11-21 14:16:33,2026-04-01 06:30:00
SCR-0000268,HS-000115,0,20,2026-01-24 07:19:12,2026-04-01 06:30:00
SCR-0000269,HS-000115,20,27,2026-01-31 12:08:21,2026-04-01 06:30:00
SCR-0000270,HS-000116,0,23,2025-09-03 15:09:09,2026-04-01 06:30:00
SCR-0000271,HS-000116,23,43,2025-09-07 07:23:53,2026-04-01 06:30:00
SCR-0000272,HS-000116,43,50,2025-09-10 02:27:57,2026-04-01 06:30:00
SCR-0000273,HS-000117,0,24,2025-11-20 05:23:12,2026-04-01 06:30:00
SCR-0000274,HS-000117,24,43,2025-11-27 08:38:30,2026-04-01 06:30:00
SCR-0000275,HS-000117,43,74,2025-11-30 07:57:59,2026-04-01 06:30:00
SCR-0000276,HS-000118,0,24,2025-12-07 03:11:15,2026-04-01 06:30:00
SCR-0000277,HS-000118,24,44,2025-12-11 07:01:36,2026-04-01 06:30:00
SCR-0000278,HS-000118,44,74,2025-12-12 12:56:58,2026-04-01 06:30:00
SCR-0000279,HS-000119,0,14,2025-12-07 06:32:35,2026-04-01 06:30:00
SCR-0000280,HS-000119,14,36,2025-12-23 19:46:42,2026-04-01 06:30:00
SCR-0000281,HS-000120,0,9,2025-09-29 11:53:43,2026-04-01 06:30:00
SCR-0000282,HS-000120,9,43,2025-10-03 10:22:37,2026-04-01 06:30:00
SCR-0000283,HS-000120,43,64,2025-10-06 05:52:53,2026-04-01 06:30:00
SCR-0000284,HS-000121,0,14,2025-12-01 21:36:52,2026-04-01 06:30:00
SCR-0000285,HS-000121,14,46,2025-12-09 02:06:37,2026-04-01 06:30:00
SCR-0000286,HS-000121,46,76,2025-12-11 17:49:27,2026-04-01 06:30:00
SCR-0000287,HS-000122,0,14,2026-01-29 08:02:17,2026-04-01 06:30:00
SCR-0000288,HS-000122,14,40,2026-02-03 22:11:00,2026-04-01 06:30:00
SCR-0000289,HS-000122,40,81,2026-02-06 05:36:20,2026-04-01 06:30:00
SCR-0000290,HS-000123,0,21,2025-10-29 20:09:06,2026-04-01 06:30:00
SCR-0000291,HS-000123,21,37,2025-11-02 21:56:45,2026-04-01 06:30:00
SCR-0000292,HS-000124,0,19,2025-09-24 01:42:09,2026-04-01 06:30:00
SCR-0000293,HS-000124,19,47,2025-09-28 19:07:23,2026-04-01 06:30:00
SCR-0000294,HS-000124,47,78,2025-09-30 07:32:34,2026-04-01 06:30:00
SCR-0000295,HS-000125,0,19,2025-12-08 04:03:09,2026-04-01 06:30:00
SCR-0000296,HS-000125,19,21,2025-12-16 08:53:52,2026-04-01 06:30:00
SCR-0000297,HS-000126,0,15,2025-11-16 13:05:18,2026-04-01 06:30:00
SCR-0000298,HS-000126,15,44,2025-12-03 09:54:10,2026-04-01 06:30:00
SCR-0000299,HS-000126,44,67,2025-12-05 07:49:59,2026-04-01 06:30:00
SCR-0000300,HS-000127,0,23,2026-01-13 21:57:25,2026-04-01 06:30:00
SCR-0000301,HS-000127,23,38,2026-01-23 03:12:45,2026-04-01 06:30:00
SCR-0000302,HS-000128,0,10,2026-01-07 17:23:31,2026-04-01 06:30:00
SCR-0000303,HS-000128,10,47,2026-01-13 16:47:26,2026-04-01 06:30:00
SCR-0000304,HS-000128,47,58,2026-01-14 14:06:31,2026-04-01 06:30:00
SCR-0000305,HS-000129,0,20,2025-10-05 09:17:03,2026-04-01 06:30:00
SCR-0000306,HS-000129,20,44,2025-10-10 22:26:35,2026-04-01 06:30:00
SCR-0000307,HS-000129,44,55,2025-10-12 17:43:25,2026-04-01 06:30:00
SCR-0000308,HS-000130,0,15,2025-11-12 04:08:17,2026-04-01 06:30:00
SCR-0000309,HS-000130,15,48,2025-11-22 02:25:19,2026-04-01 06:30:00
SCR-0000310,HS-000130,48,81,2025-11-23 09:40:13,2026-04-01 06:30:00
SCR-0000311,HS-000131,0,13,2025-10-10 19:50:24,2026-04-01 06:30:00
SCR-0000312,HS-000131,13,45,2025-10-18 12:23:06,2026-04-01 06:30:00
SCR-0000313,HS-000131,45,66,2025-10-19 21:59:16,2026-04-01 06:30:00
SCR-0000314,HS-000132,0,8,2026-02-27 20:19:47,2026-04-01 06:30:00
SCR-0000315,HS-000132,8,12,2026-03-13 23:00:49,2026-04-01 06:30:00
SCR-0000316,HS-000133,0,23,2025-12-09 14:24:18,2026-04-01 06:30:00
