history_id,opp_id,from_stage_num,to_stage_num,changed_at,changed_by,_synced_at
HIS-000098,OPP-00023,1,2,2025-12-24 17:34:36,USR-0028,2026-04-01 05:30:00
HIS-000099,OPP-00023,2,3,2025-12-25 20:28:40,USR-0028,2026-04-01 05:30:00
HIS-000100,OPP-00023,3,4,2025-12-27 12:43:22,USR-0028,2026-04-01 05:30:00
HIS-000101,OPP-00023,4,6,2026-01-06 04:01:37,USR-0028,2026-04-01 05:30:00
HIS-000102,OPP-00024,0,1,2025-10-28 12:52:36,USR-0024,2026-04-01 05:30:00
HIS-000103,OPP-00024,1,2,2025-11-04 03:22:17,USR-0024,2026-04-01 05:30:00
HIS-000104,OPP-00024,2,3,2025-11-26 18:49:46,USR-0024,2026-04-01 05:30:00
HIS-000105,OPP-00024,3,4,2025-12-02 09:05:42,USR-0024,2026-04-01 05:30:00
HIS-000106,OPP-00024,4,6,2025-12-17 05:04:42,USR-0024,2026-04-01 05:30:00
HIS-000107,OPP-00025,0,1,2025-11-09 17:14:57,USR-0025,2026-04-01 05:30:00
HIS-000108,OPP-00025,1,2,2025-11-16 20:29:45,USR-0025,2026-04-01 05:30:00
HIS-000109,OPP-00025,2,3,2025-11-21 08:06:06,USR-0025,2026-04-01 05:30:00
HIS-000110,OPP-00025,3,4,2025-11-23 12:32:34,USR-0025,2026-04-01 05:30:00
HIS-000111,OPP-00025,4,6,2025-11-23 17:40:14,USR-0025,2026-04-01 05:30:00
HIS-000112,OPP-00026,0,1,2025-10-27 05:38:58,USR-0029,2026-04-01 05:30:00
HIS-000113,OPP-00026,1,2,2025-11-04 22:09:57,USR-0029,2026-04-01 05:30:00
HIS-000114,OPP-00026,2,3,2025-11-06 09:37:17,USR-0029,2026-04-01 05:30:00
HIS-000115,OPP-00026,3,4,2025-11-14 03:16:48,USR-0029,2025-11-13 03:16:48
HIS-000116,OPP-00026,4,6,2025-11-15 10:50:49,USR-0029,2026-04-01 05:30:00
HIS-000117,OPP-00027,0,1,2025-10-03 22:01:31,USR-0028,2026-04-01 05:30:00
HIS-000118,OPP-00027,1,2,2025-10-06 05:01:26,USR-0028,2026-04-01 05:30:00
HIS-000119,OPP-00027,2,3,2025-10-06 06:25:31,USR-0028,2026-04-01 05:30:00
HIS-000120,OPP-00027,3,4,2025-10-10 13:37:56,USR-0028,2026-04-01 05:30:00
HIS-000121,OPP-00027,4,6,2025-10-11 08:24:57,USR-0028,2026-04-01 05:30:00
HIS-000122,OPP-00028,0,1,2025-09-24 16:01:42,USR-0026,2025-09-23 16:01:42
HIS-000123,OPP-00028,1,2,2025-09-29 01:48:55,USR-0026,2025-09-28 01:48:55
HIS-000124,OPP-00028,2,3,2025-10-05 09:20:43,USR-0026,2026-04-01 05:30:00
HIS-000125,OPP-00028,3,4,2025-10-07 18:40:38,USR-0026,2026-04-01 05:30:00
HIS-000126,OPP-00028,4,6,2025-10-14 11:12:44,USR-0026,2026-04-01 05:30:00
HIS-000127,OPP-00029,0,1,2025-12-13 14:20:38,USR-0024,2026-04-01 05:30:00
HIS-000128,OPP-00029,1,2,2026-01-01 10:09:25,USR-0024,2026-04-01 05:30:00
HIS-000129,OPP-00029,2,3,2026-01-03 02:41:55,USR-0024,2026-04-01 05:30:00
HIS-000130,OPP-00029,3,4,2026-01-10 19:50:39,USR-0024,2026-04-01 05:30:00
HIS-000131,OPP-00029,4,6,2026-01-15 18:15:35,USR-0024,2026-04-01 05:30:00
HIS-000132,OPP-00030,0,1,2025-11-15 11:37:22,USR-0024,2026-04-01 05:30:00
HIS-000133,OPP-00030,1,2,2025-11-17 06:18:36,USR-0024,2026-04-01 05:30:00
HIS-000134,OPP-00030,2,3,2025-11-20 19:41:05,USR-0024,2026-04-01 05:30:00
HIS-000135,OPP-00030,3,4,2025-11-22 22:06:33,USR-0024,2026-04-01 05:30:00
HIS-000136,OPP-00030,4,6,2025-11-23 00:38:04,USR-0024,2026-04-01 05:30:00
HIS-000137,OPP-00031,0,1,2026-03-16 21:51:12,USR-0025,2026-04-01 05:30:00
HIS-000138,OPP-00031,1,2,2026-03-21 13:02:29,USR-0025,2026-04-01 05:30:00
HIS-000139,OPP-00032,0,1,2025-12-06 14:39:33,USR-0026,2026-04-01 05:30:00
HIS-000140,OPP-00032,1,2,2025-12-11 07:31:44,USR-0026,2026-04-01 05:30:00
HIS-000141,OPP-00032,2,3,2025-12-13 08:18:51,USR-0026,2026-04-01 05:30:00
HIS-000142,OPP-00032,3,4,2025-12-18 23:25:52,USR-0026,2026-04-01 05:30:00
HIS-000143,OPP-00032,4,6,2025-12-25 10:36:59,USR-0026,2026-04-01 05:30:00
HIS-000144,OPP-00033,0,1,2026-01-30 21:39:46,USR-0024,2026-04-01 05:30:00
HIS-000145,OPP-00033,1,2,2026-02-15 04:27:06,USR-0024,2026-04-01 05:30:00
HIS-000146,OPP-00033,2,3,2026-02-16 09:34:35,USR-0024,2026-04-01 05:30:00
HIS-000147,OPP-00033,3,4,2026-02-21 02:26:49,USR-0024,2026-04-01 05:30:00
HIS-000148,OPP-00033,4,6,2026-02-21 03:11:59,USR-0024,2026-04-01 05:30:00
HIS-000149,OPP-00034,0,1,2026-01-30 01:46:21,USR-0025,2026-04-01 05:30:00
HIS-000150,OPP-00034,1,2,2026-02-21 03:06:06,USR-0025,2026-04-01 05:30:00
HIS-000151,OPP-00034,2,3,2026-02-26 22:49:00,USR-0025,2026-04-01 05:30:00
HIS-000152,OPP-00034,3,4,2026-03-03 00:12:35,USR-0025,2026-04-01 05:30:00
HIS-000153,OPP-00034,4,5,2026-03-13 11:37:53,USR-0025,2026-04-01 05:30:00
HIS-000154,OPP-00035,0,1,2025-12-22 11:35:16,USR-0026,2026-04-01 05:30:00
HIS-000155,OPP-00035,1,2,2026-01-05 12:34:56,USR-0026,2026-01-04 12:34:56
HIS-000156,OPP-00035,2,3,2026-01-13 17:14:10,USR-0026,2026-04-01 05:30:00
HIS-000157,OPP-00035,3,4,2026-01-21 11:16:50,USR-0026,2026-04-01 05:30:00
HIS-000158,OPP-00035,4,5,2026-02-03 12:38:39,USR-0026,2026-04-01 05:30:00
HIS-000159,OPP-00036,0,1,2025-10-04 05:18:09,USR-0026,2026-04-01 05:30:00
HIS-000160,OPP-00036,1,2,2025-10-11 09:46:52,USR-0026,2026-04-01 05:30:00
HIS-000161,OPP-00036,2,3,2025-10-14 02:11:16,USR-0026,2026-04-01 05:30:00
HIS-000162,OPP-00036,3,4,2025-10-16 11:48:41,USR-0026,2026-04-01 05:30:00
HIS-000163,OPP-00036,4,5,2025-10-16 18:27:32,USR-0026,2026-04-01 05:30:00
HIS-000164,OPP-00037,0,1,2025-12-04 15:22:06,USR-0024,2026-04-01 05:30:00
HIS-000165,OPP-00037,1,2,2025-12-05 07:12:31,USR-0024,2026-04-01 05:30:00
HIS-000166,OPP-00037,2,3,2025-12-05 15:22:21,USR-0024,2026-04-01 05:30:00
HIS-000167,OPP-00037,3,4,2025-12-06 12:16:48,USR-0024,2026-04-01 05:30:00
HIS-000168,OPP-00037,4,5,2025-12-16 21:09:15,USR-0024,2026-04-01 05:30:00
HIS-000169,OPP-00038,0,1,2025-11-29 01:05:19,USR-0029,2026-04-01 05:30:00
HIS-000170,OPP-00038,1,2,2025-12-03 18:46:41,USR-0029,2026-04-01 05:30:00
HIS-000171,OPP-00038,2,3,2025-12-07 09:02:45,USR-0029,2026-04-01 05:30:00
HIS-000172,OPP-00038,3,4,2025-12-10 18:32:39,USR-0029,2026-04-01 05:30:00
HIS-000173,OPP-00038,4,6,2025-12-19 15:06:13,USR-0029,2026-04-01 05:30:00
HIS-000174,OPP-00039,0,1,2025-10-20 17:12:43,USR-0025,2026-04-01 05:30:00
HIS-000175,OPP-00039,1,2,2025-11-01 11:55:02,USR-0025,2026-04-01 05:30:00
HIS-000176,OPP-00039,2,3,2025-11-12 08:12:49,USR-0025,2026-04-01 05:30:00
HIS-000177,OPP-00039,3,4,2025-11-14 19:20:44,USR-0025,2026-04-01 05:30:00
HIS-000178,OPP-00039,4,6,2025-11-15 18:54:44,USR-0025,2026-04-01 05:30:00
HIS-000184,OPP-00041,0,1,2025-11-15 10:16:45,USR-0029,2026-04-01 05:30:00
HIS-000185,OPP-00041,1,2,2025-11-30 18:35:51,USR-0029,2026-04-01 05:30:00
HIS-000186,OPP-00041,2,3,2025-12-06 05:28:07,USR-0029,2026-04-01 05:30:00
HIS-000187,OPP-00041,3,4,2025-12-17 16:40:14,USR-0029,2026-04-01 05:30:00
HIS-000188,OPP-00041,4,5,2025-12-26 03:34:35,USR-0029,2026-04-01 05:30:00
HIS-000189,OPP-00042,0,1,2025-11-21 14:17:07,USR-0029,2026-04-01 05:30:00
HIS-000190,OPP-00042,1,2,2025-11-25 10:14:10,USR-0029,2026-04-01 05:30:00
HIS-000191,OPP-00042,2,3,2025-11-25 23:15:25,USR-0029,2026-04-01 05:30:00
HIS-000192,OPP-00042,3,4,2025-11-29 14:17:01,USR-0029,2026-04-01 05:30:00
HIS-000193,OPP-00042,4,5,2025-12-02 18:32:01,USR-0029,2026-04-01 05:30:00
HIS-000194,OPP-00043,0,1,2025-10-26 23:06:55,USR-0026,2026-04-01 05:30:00
HIS-000195,OPP-00043,1,2,2025-11-09 00:38:54,USR-0026,2026-04-01 05:30:00
HIS-000196,OPP-00043,2,3,2025-11-11 21:11:24,USR-0026,2026-04-01 05:30:00
HIS-000197,OPP-00043,3,4,2025-11-18 18:38:35,USR-0026,2026-04-01 05:30:00
HIS-000198,OPP-00043,4,6,2025-11-21 02:22:08,USR-0026,2026-04-01 05:30:00
HIS-000199,OPP-00044,0,1,2025-09-26 13:22:41,USR-0028,2026-04-01 05:30:00
HIS-000200,OPP-00044,1,2,2025-10-13 02:04:59,USR-0028,2026-04-01 05:30:00
HIS-000201,OPP-00044,2,3,2025-10-19 07:25:35,USR-0028,2026-04-01 05:30:00
HIS-000202,OPP-00044,3,4,2025-10-25 20:14:49,USR-0028,2026-04-01 05:30:00
HIS-000203,OPP-00044,4,6,2025-10-27 21:10:02,USR-0028,2026-04-01 05:30:00
HIS-000204,OPP-00045,0,1,2025-10-26 22:38:53,USR-0023,2026-04-01 05:30:00
HIS-000205,OPP-00045,1,2,2025-11-08 21:59:49,USR-0023,2026-04-01 05:30:00
HIS-000206,OPP-00045,2,3,2025-11-18 03:31:32,USR-0023,2026-04-01 05:30:00
HIS-000207,OPP-00045,3,4,2025-11-22 15:18:48,USR-0023,2026-04-01 05:30:00
HIS-000208,OPP-00045,4,6,2025-12-06 03:14:35,USR-0023,2026-04-01 05:30:00
HIS-000209,OPP-00046,0,1,2025-12-29 04:25:40,USR-0034,2026-04-01 05:30:00
HIS-000210,OPP-00046,1,2,2026-01-19 09:23:41,USR-0034,2026-04-01 05:30:00
HIS-000211,OPP-00046,2,3,2026-02-05 15:08:44,USR-0034,2026-04-01 05:30:00
HIS-000212,OPP-00046,3,4,2026-03-04 22:07:26,USR-0034,2026-04-01 05:30:00
HIS-000213,OPP-00046,4,5,2026-03-06 07:16:39,USR-0034,2026-04-01 05:30:00
HIS-000214,OPP-00047,0,1,2025-09-21 03:59:05,USR-0033,2026-04-01 05:30:00
HIS-000215,OPP-00047,1,2,2025-10-19 14:46:21,USR-0033,2026-04-01 05:30:00
HIS-000216,OPP-00047,2,3,2025-10-27 22:52:34,USR-0033,2026-04-01 05:30:00
HIS-000217,OPP-00047,3,4,2025-11-04 01:01:38,USR-0033,2026-04-01 05:30:00
HIS-000218,OPP-00047,4,6,2025-11-12 10:02:05,USR-0033,2025-11-11 10:02:05
HIS-000219,OPP-00048,0,1,2025-10-28 00:09:39,USR-0025,2025-10-27 00:09:39
HIS-000220,OPP-00048,1,2,2025-10-31 20:17:03,USR-0025,2026-04-01 05:30:00
HIS-000221,OPP-00048,2,3,2025-11-02 18:38:08,USR-0025,2026-04-01 05:30:00
HIS-000222,OPP-00048,3,4,2025-11-05 16:46:48,USR-0025,2026-04-01 05:30:00
HIS-000223,OPP-00048,4,5,2025-11-14 00:45:17,USR-0025,2026-04-01 05:30:00
HIS-000224,OPP-00049,0,1,2026-01-28 19:17:34,USR-0035,2026-04-01 05:30:00
HIS-000225,OPP-00049,1,2,2026-03-25 04:50:22,USR-0035,2026-04-01 05:30:00
HIS-000226,OPP-00049,2,3,2026-03-29 21:43:27,USR-0035,2026-04-01 05:30:00
HIS-000227,OPP-00050,0,1,2026-03-01 02:55:38,USR-0026,2026-04-01 05:30:00
HIS-000228,OPP-00050,1,2,2026-03-23 22:11:43,USR-0026,2026-04-01 05:30:00
HIS-000229,OPP-00051,0,1,2026-02-08 02:15:12,USR-0024,2026-04-01 05:30:00
HIS-000230,OPP-00051,1,2,2026-02-11 08:41:24,USR-0024,2026-04-01 05:30:00
HIS-000231,OPP-00051,2,3,2026-02-11 22:32:38,USR-0024,2026-04-01 05:30:00
HIS-000232,OPP-00051,3,4,2026-02-19 15:27:51,USR-0024,2026-04-01 05:30:00
HIS-000233,OPP-00051,4,5,2026-02-23 18:06:29,USR-0024,2026-04-01 05:30:00
HIS-000234,OPP-00052,0,1,2026-01-11 04:35:50,USR-0023,2026-04-01 05:30:00
HIS-000235,OPP-00052,1,2,2026-01-12 12:27:42,USR-0023,2026-04-01 05:30:00
HIS-000236,OPP-00052,2,3,2026-01-15 01:43:53,USR-0023,2026-04-01 05:30:00
HIS-000237,OPP-00052,3,4,2026-01-19 01:46:59,USR-0023,2026-04-01 05:30:00
HIS-000238,OPP-00052,4,6,2026-01-19 13:02:35,USR-0023,2026-04-01 05:30:00
HIS-000239,OPP-00053,0,1,2026-01-13 22:51:23,USR-0032,2026-04-01 05:30:00
HIS-000240,OPP-00053,1,2,2026-02-15 11:28:03,USR-0032,2026-04-01 05:30:00
HIS-000241,OPP-00053,2,3,2026-03-08 14:58:41,USR-0032,2026-04-01 05:30:00
HIS-000242,OPP-00054,0,1,2026-03-30 16:39:21,USR-0035,2026-04-01 05:30:00
HIS-000248,OPP-00056,0,1,2026-01-06 20:56:41,USR-0036,2026-04-01 05:30:00
HIS-000249,OPP-00056,1,2,2026-02-01 16:23:19,USR-0036,2026-04-01 05:30:00
HIS-000250,OPP-00056,2,3,2026-02-11 17:24:38,USR-0036,2026-04-01 05:30:00
HIS-000251,OPP-00056,3,4,2026-02-17 00:44:38,USR-0036,2026-04-01 05:30:00
HIS-000252,OPP-00056,4,6,2026-02-21 00:44:36,USR-0036,2026-04-01 05:30:00
HIS-000253,OPP-00057,0,1,2026-03-30 07:39:31,USR-0036,2026-04-01 05:30:00
HIS-000254,OPP-00058,0,1,2025-11-20 12:39:30,USR-0029,2026-04-01 05:30:00
HIS-000255,OPP-00058,1,2,2025-11-25 17:12:18,USR-0029,2026-04-01 05:30:00
HIS-000256,OPP-00058,2,3,2025-11-28 11:23:35,USR-0029,2026-04-01 05:30:00
HIS-000257,OPP-00058,3,4,2025-11-28 13:57:57,USR-0029,2026-04-01 05:30:00
HIS-000258,OPP-00058,4,6,2025-12-02 21:04:24,USR-0029,2026-04-01 05:30:00
HIS-000259,OPP-00059,0,1,2025-11-16 18:39:29,USR-0034,2026-04-01 05:30:00
HIS-000260,OPP-00059,1,2,2025-12-19 14:17:45,USR-0034,2026-04-01 05:30:00
HIS-000261,OPP-00059,2,3,2026-01-01 07:53:23,USR-0034,2026-04-01 05:30:00
HIS-000262,OPP-00059,3,4,2026-01-09 01:45:59,USR-0034,2026-04-01 05:30:00
HIS-000263,OPP-00059,4,6,2026-01-28 16:13:33,USR-0034,2026-04-01 05:30:00
HIS-000264,OPP-00060,0,1,2025-09-12 23:32:18,USR-0025,2026-04-01 05:30:00
HIS-000265,OPP-00060,1,2,2025-09-29 09:25:40,USR-0025,2026-04-01 05:30:00
HIS-000266,OPP-00060,2,3,2025-09-30 11:49:44,USR-0025,2026-04-01 05:30:00
HIS-000267,OPP-00060,3,4,2025-10-12 07:31:16,USR-0025,2026-04-01 05:30:00
HIS-000268,OPP-00060,4,6,2025-10-13 19:33:55,USR-0025,2026-04-01 05:30:00
HIS-000269,OPP-00061,0,1,2025-11-14 10:40:39,USR-0026,2026-04-01 05:30:00
HIS-000270,OPP-00061,1,2,2025-12-02 08:06:37,USR-0026,2026-04-01 05:30:00
HIS-000271,OPP-00061,2,3,2025-12-05 10:42:40,USR-0026,2026-04-01 05:30:00
HIS-000272,OPP-00061,3,4,2025-12-07 06:35:15,USR-0026,2026-04-01 05:30:00
HIS-000273,OPP-00061,4,5,2025-12-09 16:28:54,USR-0026,2026-04-01 05:30:00
HIS-000279,OPP-00063,0,1,2026-03-02 12:12:03,USR-0029,2026-04-01 05:30:00
HIS-000280,OPP-00063,1,2,2026-03-23 19:05:49,USR-0029,2026-04-01 05:30:00
HIS-000281,OPP-00063,2,3,2026-03-25 08:29:04,USR-0029,2026-04-01 05:30:00
HIS-000282,OPP-00063,3,4,2026-03-30 23:46:40,USR-0029,2026-04-01 05:30:00
HIS-000283,OPP-00064,0,1,2025-10-29 04:39:53,USR-0029,2026-04-01 05:30:00
HIS-000284,OPP-00064,1,2,2025-11-19 23:10:28,USR-0029,2026-04-01 05:30:00
HIS-000285,OPP-00064,2,3,2026-01-02 19:14:26,USR-0029,2026-04-01 05:30:00
HIS-000286,OPP-00064,3,4,2026-01-24 21:53:55,USR-0029,2026-04-01 05:30:00
HIS-000287,OPP-00064,4,6,2026-02-27 10:22:19,USR-0029,2026-04-01 05:30:00
HIS-000288,OPP-00065,0,1,2025-11-11 09:13:00,USR-0032,2026-04-01 05:30:00
HIS-000289,OPP-00065,1,2,2025-11-30 02:45:21,USR-0032,2026-04-01 05:30:00
HIS-000290,OPP-00065,2,3,2025-12-07 14:09:54,USR-0032,2026-04-01 05:30:00
HIS-000291,OPP-00065,3,4,2025-12-29 10:23:26,USR-0032,2026-04-01 05:30:00
HIS-000292,OPP-00065,4,6,2026-01-01 12:51:36,USR-0032,2026-04-01 05:30:00
HIS-000293,OPP-00066,0,1,2026-02-02 11:55:52,USR-0029,2026-04-01 05:30:00
HIS-000294,OPP-00066,1,2,2026-02-23 04:18:12,USR-0029,2026-04-01 05:30:00
HIS-000295,OPP-00066,2,3,2026-02-23 19:00:34,USR-0029,2026-04-01 05:30:00
HIS-000296,OPP-00066,3,4,2026-02-28 15:42:24,USR-0029,2026-04-01 05:30:00
HIS-000297,OPP-00066,4,6,2026-03-02 17:54:08,USR-0029,2026-03-01 17:54:08
HIS-000298,OPP-00067,0,1,2026-01-23 00:07:05,USR-0023,2026-04-01 05:30:00
