opp_id,account_id,owner_id,opp_name,opp_stage,opp_stage_num,opp_amount,currency,opp_type,lead_source,is_partner_sourced,created_date,close_date,is_won,is_closed,is_test,source_hs_contact_id,source_sf_lead_id,_synced_at
OPP-00034,ACC-01099,USR-0025,Taylor and Sons - New Business #00034,Closed Won,5,2943.90,USD,New Business,Inbound,false,2026-01-30,2026-03-13,true,true,false,HS-000416,LEAD-000416,2026-04-01 05:30:00
OPP-00035,ACC-00216,USR-0026,Cordova Group - New Business #00035,Closed Won,5,5936.52,USD,New Business,Inbound,false,2025-12-22,2026-02-03,true,true,false,HS-000433,LEAD-000433,2026-04-01 05:30:00
OPP-00036,ACC-00969,USR-0026,Weaver-Thompson - New Business #00036,Closed Won,5,11494.97,USD,New Business,Partner,true,2025-10-04,2025-10-16,true,true,false,HS-000436,LEAD-000436,2026-04-01 05:30:00
OPP-00037,ACC-00881,USR-0024,Wilson-Salazar - New Business #00037,Closed Won,5,5828.37,USD,New Business,Inbound,false,2025-12-04,2025-12-16,true,true,false,HS-000440,LEAD-000440,2026-04-01 05:30:00
OPP-00038,ACC-00812,USR-0029,Martin-Taylor - New Business #00038,Closed Lost,6,3337.77,CAD,New Business,Inbound,false,2025-11-29,2025-12-19,false,true,false,HS-000442,LEAD-000442,2026-04-01 05:30:00
OPP-00039,ACC-01131,USR-0027,Hunt PLC - New Business #00039,Closed Lost,6,8484.94,USD,New Business,Content,false,2025-10-20,2025-11-15,false,true,false,HS-000451,LEAD-000451,2026-04-01 05:30:00
OPP-00040,ACC-00229,,Baird-Sanchez - New Business #00040,Closed Lost,6,4716.07,USD,New Business,Inbound,false,2026-01-17,2026-03-13,false,true,false,HS-000456,LEAD-000456,2026-04-01 05:30:00
OPP-00041,ACC-00248,USR-0029,"Miller, Murphy and Craig - New Business #00041",Closed Won,5,2645.01,USD,New Business,Inbound,false,2025-11-15,2025-12-26,true,true,false,HS-000462,LEAD-000462,2026-04-01 05:30:00
OPP-00042,ACC-00947,USR-0029,Ramirez-Stephenson - New Business #00042,Closed Won,5,4734.62,USD,New Business,Inbound,false,2025-11-21,2025-12-02,true,true,false,HS-000478,LEAD-000478,2026-04-01 05:30:00
OPP-00043,ACC-00049,USR-0026,Moore-Bass - New Business #00043,Closed Lost,6,3378.41,USD,New Business,Outbound,false,2025-10-26,2025-11-21,false,true,false,HS-000483,LEAD-000483,2026-04-01 05:30:00
OPP-00044,ACC-00653,USR-0031,Faulkner-Grant - New Business #00044,Closed Lost,6,2775.70,USD,New Business,Event,false,2025-09-26,2025-10-27,false,true,false,HS-000496,LEAD-000496,2026-04-01 05:30:00
OPP-00045,ACC-00613,USR-0023,"Leach, Harris and Herrera - New Business #00045",Closed Lost,6,4042.51,USD,New Business,Inbound,false,2025-10-26,2025-12-06,false,true,false,HS-000504,LEAD-000504,2026-04-01 05:30:00
OPP-00046,ACC-00150,USR-0034,Reed Group - New Business #00046,Closed Won,5,43394.10,USD,New Business,Inbound,false,2025-12-29,2026-03-06,true,true,false,HS-000514,LEAD-000514,2026-04-01 05:30:00
OPP-00047,ACC-00493,USR-0033,Mcdonald-Bird - New Business #00047,Closed Lost,6,24294.51,USD,New Business,Paid,false,2025-09-21,2025-11-12,false,true,false,HS-000533,LEAD-000533,2026-04-01 05:30:00
OPP-00048,ACC-00241,USR-0025,Hughes-Alvarado - New Business #00048,Closed Won,5,4055.00,USD,New Business,Content,false,2025-10-28,2025-11-14,true,true,false,HS-000548,LEAD-000548,2026-04-01 05:30:00
OPP-00049,ACC-00650,USR-0035,White-Medina - New Business #00049,Proposal,3,62753.38,USD,New Business,Outbound,false,2026-01-28,,false,false,false,HS-000550,LEAD-000550,2026-04-01 05:30:00
OPP-00050,ACC-00124,USR-0026,Castaneda-Ashley - New Business #00050,Demo,2,5735.47,USD,New Business,Inbound,false,2026-03-01,,false,false,false,HS-000552,LEAD-000552,2026-04-01 05:30:00
OPP-00051,ACC-00791,USR-0024,Lopez-Reid - New Business #00051,Closed Won,5,4329.45,USD,New Business,Outbound,false,2026-02-08,2026-02-23,true,true,false,HS-000558,LEAD-000558,2026-04-01 05:30:00
OPP-00052,ACC-00638,USR-0023,Wheeler Group - New Business #00052,Closed Lost,6,5515.78,USD,New Business,Inbound,false,2026-01-11,2026-01-19,false,true,false,HS-000572,LEAD-000572,2026-04-01 05:30:00
OPP-00053,ACC-01090,USR-0032,Hardy-Hansen - New Business #00053,Proposal,3,19085.71,USD,New Business,Event,false,2026-01-13,,false,false,false,HS-000589,LEAD-000589,2026-04-01 05:30:00
OPP-00054,ACC-00833,USR-0035,Williams Ltd - New Business #00054,Discovery,1,137126.52,USD,New Business,Outbound,false,2026-03-30,,false,false,false,HS-000595,LEAD-000595,2026-04-01 05:30:00
OPP-00055,ACC-00884,USR-0028,"Smith, Crawford and Reed - New Business #00055",Closed Lost,6,1606.83,USD,New Business,Content,false,2025-10-05,2025-12-15,false,true,false,HS-000618,LEAD-000618,2026-04-01 05:30:00
OPP-00056,ACC-01180,USR-0036,Moran-Cox - New Business #00056,Closed Lost,6,60489.33,USD,New Business,Outbound,false,2026-01-06,2026-02-21,false,true,false,HS-000619,LEAD-000619,2026-04-01 05:30:00
OPP-00057,ACC-00966,USR-0036,Drake-Wolfe - New Business #00057,Discovery,1,40651.25,USD,New Business,Content,false,2026-03-30,,false,false,false,HS-000626,LEAD-000626,2026-04-01 05:30:00
OPP-00058,ACC-00216,USR-0029,Cordova Group - New Business #00058,Closed Lost,6,6354.56,USD,New Business,Event,false,2025-11-20,2025-12-02,false,true,false,HS-000648,LEAD-000648,2026-04-01 05:30:00
OPP-00059,ACC-00443,USR-0034,Mendez and Sons - New Business #00059,Closed Lost,6,8586.57,USD,New Business,Content,false,2025-11-16,2026-01-28,false,true,false,HS-000695,LEAD-000695,2026-04-01 05:30:00
OPP-00060,ACC-01104,USR-0025,"Brown, Hayes and Clark - New Business #00060",Closed Lost,6,4268.12,USD,New Business,Inbound,false,2025-09-12,2025-10-13,false,true,false,HS-000731,LEAD-000731,2026-04-01 05:30:00
OPP-00061,ACC-01077,USR-0031,"Lynch, Evans and Rodriguez - New Business #00061",Closed Won,5,4349.74,USD,New Business,Inbound,false,2025-11-14,2025-12-09,true,true,false,HS-000746,LEAD-000746,2026-04-01 05:30:00
OPP-00062,ACC-00247,USR-0025,Morgan-Schwartz - New Business #00062,Closed Lost,6,5760.66,USD,New Business,Inbound,false,2025-11-04,2025-12-16,false,true,false,HS-000752,LEAD-000752,2026-04-01 05:30:00
OPP-00063,ACC-00519,USR-0029,Anderson-Wood - New Business #00063,Negotiation,4,10143.55,USD,New Business,Outbound,false,2026-03-02,,false,false,false,HS-000830,LEAD-000830,2026-04-01 05:30:00
OPP-00064,ACC-00732,USR-0029,Thomas-Jackson - New Business #00064,Closed Lost,6,1413.29,USD,New Business,Content,false,2025-10-29,2026-02-27,false,true,false,HS-000832,LEAD-000832,2026-04-01 05:30:00
OPP-00065,ACC-00982,USR-0032,"Phillips, Thompson and Smith - New Business #00065",Closed Lost,6,42962.40,USD,New Business,Paid,false,2025-11-11,2026-01-01,false,true,false,HS-000835,LEAD-000835,2026-04-01 05:30:00
OPP-00066,ACC-00630,USR-0029,"Long, Anderson and Irwin - New Business #00066",Closed Lost,6,5172.73,USD,New Business,Outbound,false,2026-02-02,2026-03-02,false,true,false,HS-000841,LEAD-000841,2026-04-01 05:30:00
OPP-00067,ACC-01124,USR-0023,"Vang, Stanley and Valdez - New Business #00067",Closed Lost,6,3779.99,USD,New Business,Inbound,false,2026-01-23,2026-03-11,false,true,false,HS-000868,LEAD-000868,2026-04-01 05:30:00
OPP-00068,ACC-00070,USR-0031,Patton-Jenkins - New Business #00068,Closed Lost,6,3627.28,USD,New Business,Event,false,2026-01-25,2026-02-17,false,true,false,HS-000870,LEAD-000870,2026-04-01 05:30:00
OPP-00069,ACC-00318,USR-0023,"Turner, Schneider and Johnson - New Business #00069",Closed Won,5,,USD,New Business,Event,false,2026-01-12,2026-02-18,true,true,false,HS-000885,LEAD-000885,2026-04-01 05:30:00
OPP-00070,ACC-00057,USR-0034,Davis Group - New Business #00070,Closed Won,5,9138.66,USD,New Business,Event,false,2025-12-28,2026-02-10,true,true,false,HS-000910,LEAD-000910,2026-04-01 05:30:00
OPP-00071,ACC-00566,USR-0023,Stewart-Bailey - New Business #00071,Closed Won,5,1783.45,USD,New Business,Inbound,false,2026-02-17,2026-03-08,true,true,false,HS-000917,LEAD-000917,2026-04-01 05:30:00
OPP-00072,ACC-00728,USR-0023,Smith-Gutierrez - New Business #00072,Closed Won,5,9824.06,USD,New Business,Partner,true,2026-01-03,2026-02-05,true,true,false,HS-000941,LEAD-000941,2026-04-01 05:30:00
OPP-00073,ACC-00797,USR-0033,"DELETEME - Wagner, Simpson and Cohen - New Business #00073",Closed Lost,6,45582.01,USD,New Business,Outbound,false,2025-10-04,2026-01-13,false,true,true,HS-000953,LEAD-000953,2026-04-01 05:30:00
OPP-00074,ACC-00587,USR-0024,Mcdowell-Smith - New Business #00074,Closed Lost,6,5364.27,USD,New Business,Inbound,false,2026-01-23,2026-02-03,false,true,false,HS-000955,LEAD-000955,2026-04-01 05:30:00
OPP-00075,ACC-00453,USR-0031,"Marshall, Dominguez and Welch - New Business #00075",Closed Won,5,3490.34,USD,New Business,Outbound,false,2026-03-08,2026-03-29,true,true,false,HS-001002,LEAD-001002,2026-04-01 05:30:00
OPP-00076,ACC-00235,USR-0026,"Burns, Hernandez and Ryan - New Business #00076",Demo,2,4384.75,USD,New Business,Paid,false,2026-03-09,,false,false,false,HS-001010,LEAD-001010,2026-04-01 05:30:00
OPP-00077,ACC-00567,USR-0025,"Hill, Martinez and Rhodes - New Business #00077",Closed Lost,6,6201.71,USD,New Business,Inbound,false,2026-02-04,2026-03-01,false,true,false,HS-001013,LEAD-001013,2026-04-01 05:30:00
OPP-00078,ACC-00801,USR-0025,Medina and Sons - New Business #00078,Closed Won,5,5978.61,USD,New Business,Inbound,false,2025-10-08,2025-11-09,true,true,false,HS-001030,LEAD-001030,2026-04-01 05:30:00
OPP-00079,ACC-00943,USR-0024,Jackson PLC - New Business #00079,Closed Lost,6,7744.48,USD,New Business,Content,false,2025-10-01,2025-10-12,false,true,false,HS-001045,LEAD-001045,2026-04-01 05:30:00
OPP-00080,ACC-00546,USR-0036,Whitney PLC - New Business #00080,Closed Won,5,120583.39,USD,New Business,Inbound,false,2025-12-09,2026-02-04,true,true,false,HS-001049,LEAD-001049,2026-04-01 05:30:00
OPP-00081,ACC-00966,USR-0036,Drake-Wolfe - New Business #00081,Demo,2,97168.80,USD,New Business,Event,false,2026-01-10,,false,false,false,HS-001094,LEAD-001094,2026-04-01 05:30:00
OPP-00082,ACC-00509,USR-0023,Miller Ltd - New Business #00082,Closed Lost,6,8137.61,USD,New Business,Outbound,false,2025-10-09,2025-11-04,false,true,false,HS-001099,LEAD-001099,2026-04-01 05:30:00
OPP-00083,ACC-00306,USR-0034,Jones PLC - New Business #00083,Closed Lost,6,25864.65,USD,New Business,Outbound,false,2025-10-06,2025-12-18,false,true,false,HS-001101,LEAD-001101,2026-04-01 05:30:00
OPP-00084,ACC-00876,USR-0033,Miller-Mccall - New Business #00084,Demo,2,12234.45,USD,New Business,Paid,false,2026-03-07,,false,false,false,HS-001124,LEAD-001124,2026-04-01 05:30:00
OPP-00085,ACC-00170,USR-0030,"Pierce, Bell and Chavez - New Business #00085",Closed Lost,6,14490.75,USD,New Business,Inbound,false,2025-11-15,2026-01-14,false,true,false,HS-001130,LEAD-001130,2026-04-01 05:30:00
OPP-00086,ACC-00380,USR-0033,Marshall-Elliott - New Business #00086,Closed Lost,6,23577.64,USD,New Business,Paid,false,2025-12-10,2026-01-31,false,true,false,HS-001137,LEAD-001137,2026-04-01 05:30:00
OPP-00087,ACC-00933,USR-0026,Crane Group - New Business #00087,Closed Won,5,11934.40,USD,New Business,Inbound,false,2026-01-24,2026-02-06,true,true,false,HS-001138,LEAD-001138,2026-04-01 05:30:00
OPP-00088,ACC-00644,USR-0026,Young-Walter - New Business #00088,Closed Lost,6,2550.82,USD,New Business,Outbound,false,2025-12-28,2026-02-10,false,true,false,HS-001167,LEAD-001167,2026-04-01 05:30:00
OPP-00089,ACC-00619,USR-0024,Chambers-Parker - New Business #00089,Closed Won,5,2331.42,USD,New Business,Paid,false,2025-10-05,2025-10-27,true,true,false,HS-001169,LEAD-001169,2026-04-01 05:30:00
OPP-00090,ACC-00372,USR-0030,"Miller, Harrell and Reese - New Business #00090",Closed Lost,6,38911.56,USD,New Business,Inbound,false,2025-10-07,2025-11-15,false,true,false,HS-001177,LEAD-001177,2026-04-01 05:30:00
OPP-00091,ACC-00167,USR-0029,Davis and Sons - New Business #00091,Closed Won,5,6832.10,USD,New Business,Inbound,false,2025-10-18,2025-11-03,true,true,false,HS-001189,LEAD-001189,2026-04-01 05:30:00
OPP-00092,ACC-00616,USR-0025,"Burns, Nolan and Griffin - New Business #00092",Closed Lost,6,19486.06,USD,New Business,Inbound,false,2025-09-16,2025-10-17,false,true,false,HS-001193,LEAD-001193,2026-04-01 05:30:00
OPP-00093,ACC-00384,USR-0023,Welch-Hogan - New Business #00093,Closed Lost,6,3457.97,USD,New Business,Paid,false,2025-12-22,2026-01-03,false,true,false,HS-001204,LEAD-001204,2026-04-01 05:30:00
OPP-00094,ACC-00215,USR-0028,"Johnson, Miller and King - New Business #00094",Closed Lost,6,0.00,USD,New Business,Inbound,false,2025-09-29,2025-11-01,false,true,false,HS-001206,LEAD-001206,2026-04-01 05:30:00
OPP-00095,ACC-00028,USR-0030,Russell Group - New Business #00095,Discovery,1,51764.26,USD,New Business,Inbound,false,2026-03-12,,false,false,false,HS-001244,LEAD-001244,2026-04-01 05:30:00
OPP-00096,ACC-00725,USR-0023,Hawkins-Hunt - New Business #00096,Closed Lost,6,4579.18,USD,New Business,Referral,false,2026-01-04,2026-01-28,false,true,false,HS-001256,LEAD-001256,2026-04-01 05:30:00
OPP-00097,ACC-01052,USR-0034,Figueroa-Malone - New Business #00097,Closed Lost,6,64009.67,USD,New Business,Outbound,false,2025-10-24,2025-12-06,false,true,false,HS-001262,LEAD-001262,2026-04-01 05:30:00
OPP-00098,ACC-01057,USR-0023,Wright Group - New Business #00098,Closed Lost,6,2835.97,USD,New Business,Inbound,false,2026-03-02,2026-03-31,false,true,false,HS-001282,LEAD-001282,2026-04-01 05:30:00
OPP-00099,ACC-00497,USR-0026,"Jones, Compton and Day - New Business #00099",Discovery,1,2144.38,USD,New Business,Outbound,false,2026-03-25,,false,false,false,HS-001291,LEAD-001291,2026-04-01 05:30:00
OPP-00100,ACC-01020,USR-0026,"Gutierrez, Avila and Perez - New Business #00100",Closed Lost,6,1853.82,USD,New Business,Inbound,false,2025-10-02,2025-10-15,false,true,false,HS-001295,LEAD-001295,2026-04-01 05:30:00
OPP-00101,ACC-00700,USR-0029,"Mueller, Knight and Hodge - New Business #00101",Closed Won,5,4101.20,USD,New Business,Referral,false,2025-11-10,2025-11-30,true,true,false,HS-001325,LEAD-001325,2026-04-01 05:30:00
OPP-00102,ACC-00467,USR-0034,Parker-Morrison - New Business #00102,Demo,2,46046.23,USD,New Business,Inbound,false,2026-03-19,,false,false,false,HS-001363,LEAD-001363,2026-04-01 05:30:00
OPP-00103,ACC-00805,USR-0025,Weaver-Sherman - New Business #00103,Closed Lost,6,5154.00,USD,New Business,Outbound,false,2026-01-13,2026-02-22,false,true,false,HS-001367,LEAD-001367,2026-04-01 05:30:00
OPP-00104,ACC-00338,USR-0025,Moore Group - New Business #00104,Closed Won,5,4072.00,USD,New Business,Event,false,2025-10-19,2025-12-13,true,true,false,HS-001415,LEAD-001415,2026-04-01 05:30:00
OPP-00105,ACC-00218,,Gutierrez-Lopez - New Business #00105,Closed Won,5,9524.30,USD,New Business,Inbound,false,2025-10-31,2025-12-01,true,true,false,HS-001422,LEAD-001422,2026-04-01 05:30:00
OPP-00106,ACC-00091,USR-0028,Spencer-Lee - New Business #00106,Closed Won,5,3369.08,USD,New Business,Inbound,false,2025-12-22,2026-01-22,true,true,false,HS-001424,LEAD-001424,2026-04-01 05:30:00
OPP-00107,ACC-00499,USR-0030,Humphrey PLC - New Business #00107,Closed Lost,6,36237.94,USD,New Business,Outbound,false,2025-12-30,2026-02-15,false,true,false,HS-001432,LEAD-001432,2026-04-01 05:30:00
OPP-00108,ACC-00094,USR-0035,Mitchell-Jordan - New Business #00108,Negotiation,4,113147.50,USD,New Business,Outbound,false,2026-02-01,,false,false,false,HS-001467,LEAD-001467,2026-04-01 05:30:00
OPP-00109,ACC-00556,USR-0024,Salas-Fitzgerald - New Business #00109,Closed Lost,6,3204.10,USD,New Business,Inbound,false,2025-12-14,2026-01-15,false,true,false,HS-001469,LEAD-001469,2026-04-01 05:30:00
OPP-00110,ACC-00906,USR-0025,Vargas-Snyder - New Business #00110,Closed Lost,6,3624.41,USD,New Business,Outbound,false,2025-11-06,2025-12-07,false,true,false,HS-001493,LEAD-001493,2026-04-01 05:30:00
OPP-00111,ACC-00507,,"Moore, Hopkins and Le - New Business #00111",Closed Lost,6,2594.60,USD,New Business,Paid,false,2026-01-21,2026-02-10,false,true,false,HS-001506,LEAD-001506,2026-04-01 05:30:00
OPP-00112,ACC-00460,USR-0026,"Rivera, Martinez and Richardson - New Business #00112",Closed Won,5,2696.07,USD,New Business,Inbound,false,2026-02-08,2026-02-18,true,true,false,HS-001532,LEAD-001532,2026-04-01 05:30:00
OPP-00113,ACC-00014,USR-0024,Jones Inc - New Business #00113,Closed Lost,6,3677.46,USD,New Business,Referral,false,2025-11-02,2025-11-21,false,true,false,HS-001554,LEAD-001554,2026-04-01 05:30:00
OPP-00114,ACC-00817,USR-0033,"Ochoa, Taylor and Brady - New Business #00114",Negotiation,4,27105.07,USD,New Business,Partner,true,2025-11-09,,false,false,false,HS-001555,LEAD-001555,2026-04-01 05:30:00
OPP-00115,ACC-00255,USR-0032,Williams Inc - New Business #00115,Closed Lost,6,46970.74,USD,New Business,Inbound,false,2025-11-01,2025-12-25,false,true,false,HS-001571,LEAD-001571,2026-04-01 05:30:00
OPP-00116,ACC-00657,USR-0032,"Calderon, Williams and Bennett - New Business #00116",Proposal,3,36347.26,USD,New Business,Event,false,2026-02-21,,false,false,false,HS-001574,LEAD-001574,2026-04-01 05:30:00
OPP-00117,ACC-01176,USR-0029,"Walsh, Wu and Hart - New Business #00117",Closed Lost,6,3976.29,USD,New Business,Inbound,false,2026-01-09,2026-01-27,false,true,false,HS-001579,LEAD-001579,2026-04-01 05:30:00
OPP-00118,ACC-00665,USR-0025,"Morris, Campbell and Owens - New Business #00118",Discovery,1,3818.47,USD,New Business,Outbound,false,2026-03-29,,false,false,false,HS-001609,LEAD-001609,2026-04-01 05:30:00
OPP-00119,ACC-00942,USR-0026,Williams Group - New Business #00119,Closed Lost,6,8585.45,USD,New Business,Partner,true,2026-01-11,2026-02-24,false,true,false,HS-001615,LEAD-001615,2026-04-01 05:30:00
OPP-00120,ACC-00098,USR-0023,"Harvey, Davis and Crane - New Business #00120",Closed Won,5,5742.59,USD,New Business,Inbound,false,2025-12-11,2026-01-03,true,true,false,HS-001618,LEAD-001618,2026-04-01 05:30:00
OPP-00121,ACC-00196,USR-0028,Warner-Gibson - New Business #00121,Closed Lost,6,4568.54,USD,New Business,Inbound,false,2026-01-31,2026-03-08,false,true,false,HS-001632,LEAD-001632,2026-04-01 05:30:00
OPP-00122,ACC-01117,USR-0036,Ferrell-Henry - New Business #00122,Closed Lost,6,122448.64,USD,New Business,Outbound,false,2025-12-25,2026-01-29,false,true,false,HS-001636,LEAD-001636,2026-04-01 05:30:00
