hs_contact_id,sf_lead_id,match_confidence
HS-000503,LEAD-000503,high
HS-000504,LEAD-000504,high
HS-000505,LEAD-000505,high
HS-000506,LEAD-000506,high
HS-000507,LEAD-000507,high
HS-000508,LEAD-000508,high
HS-000509,LEAD-000509,high
HS-000510,LEAD-000510,high
HS-000511,LEAD-000511,high
HS-000512,,low
HS-000513,LEAD-000513,high
HS-000514,,low
HS-000515,LEAD-000515,high
HS-000516,LEAD-000516,high
HS-000517,LEAD-000517,high
HS-000518,LEAD-000518,high
HS-000519,LEAD-000519,high
HS-000520,LEAD-000520,high
HS-000521,LEAD-000521,high
HS-000522,LEAD-000522,high
HS-000523,,low
HS-000524,LEAD-000524,high
HS-000525,LEAD-000525,high
HS-000526,LEAD-000526,high
HS-000527,LEAD-000527,high
HS-000528,LEAD-000528,high
HS-000529,LEAD-000529,high
HS-000530,LEAD-000530,high
HS-000531,LEAD-000531,high
HS-000532,LEAD-000532,high
HS-000533,LEAD-000533,high
HS-000534,LEAD-000534,high
HS-000535,LEAD-000535,high
HS-000536,LEAD-000536,high
HS-000537,LEAD-000537,high
HS-000538,LEAD-000538,high
HS-000539,LEAD-000539,high
HS-000540,LEAD-000540,high
HS-000541,LEAD-000541,high
HS-000542,LEAD-000542,high
HS-000543,LEAD-000543,high
HS-000544,LEAD-000544,high
HS-000545,LEAD-000545,high
HS-000546,,low
HS-000547,,low
HS-000548,LEAD-000548,high
HS-000549,LEAD-000549,high
HS-000550,LEAD-000550,high
HS-000551,LEAD-000551,high
HS-000552,LEAD-000552,high
HS-000553,LEAD-000553,high
HS-000554,LEAD-000554,high
HS-000555,LEAD-000555,high
HS-000556,LEAD-000556,high
HS-000557,LEAD-000557,high
HS-000558,LEAD-000558,high
HS-000559,LEAD-000559,high
HS-000560,LEAD-000560,high
HS-000561,LEAD-000561,high
HS-000562,LEAD-000562,high
HS-000563,LEAD-000563,high
HS-000564,LEAD-000564,high
HS-000565,LEAD-000565,high
HS-000566,LEAD-000566,high
HS-000567,LEAD-000567,high
HS-000568,LEAD-000568,high
HS-000569,LEAD-000569,high
HS-000570,LEAD-000570,high
HS-000571,LEAD-000571,high
HS-000572,LEAD-000572,high
HS-000573,LEAD-000573,high
HS-000574,LEAD-000574,high
HS-000575,LEAD-000575,high
HS-000576,LEAD-000576,high
HS-000577,LEAD-000577,high
HS-000578,LEAD-000578,high
HS-000579,LEAD-000579,high
HS-000580,LEAD-000580,high
HS-000581,LEAD-000581,high
HS-000582,LEAD-000582,high
HS-000583,LEAD-000583,high
HS-000584,LEAD-000584,high
HS-000585,LEAD-000585,high
HS-000586,LEAD-000586,high
HS-000587,LEAD-000587,high
HS-000588,LEAD-000588,high
HS-000589,LEAD-000589,high
HS-000590,LEAD-000590,high
HS-000591,,low
HS-000592,LEAD-000592,high
HS-000593,LEAD-000593,high
HS-000594,LEAD-000594,high
HS-000595,LEAD-000595,high
HS-000596,LEAD-000596,high
HS-000597,LEAD-000597,high
HS-000598,LEAD-000598,high
HS-000599,LEAD-000599,high
HS-000600,LEAD-000600,high
HS-000601,LEAD-000601,high
HS-000602,LEAD-000602,high
HS-000603,LEAD-000603,high
HS-000604,LEAD-000604,high
HS-000605,LEAD-000605,high
HS-000606,LEAD-000606,high
HS-000607,,low
HS-000608,LEAD-000608,high
HS-000609,LEAD-000609,high
HS-000610,,low
HS-000611,LEAD-000611,high
HS-000612,LEAD-000612,high
HS-000613,LEAD-000613,high
HS-000614,LEAD-000614,high
HS-000615,LEAD-000615,high
HS-000616,LEAD-000616,high
HS-000617,LEAD-000617,high
HS-000618,LEAD-000618,high
HS-000619,,low
HS-000620,LEAD-000620,high
HS-000621,LEAD-000621,high
HS-000622,LEAD-000622,high
HS-000623,LEAD-000623,high
HS-000624,LEAD-000624,high
HS-000625,LEAD-000625,high
HS-000626,LEAD-000626,high
HS-000627,LEAD-000627,high
HS-000628,LEAD-000628,high
HS-000629,LEAD-000629,high
HS-000630,LEAD-000630,high
HS-000631,LEAD-000631,high
HS-000632,LEAD-000632,high
HS-000633,LEAD-000633,high
HS-000634,LEAD-000634,high
HS-000635,LEAD-000635,high
HS-000636,LEAD-000636,high
HS-000637,LEAD-000637,high
HS-000638,LEAD-000638,high
HS-000639,LEAD-000639,high
HS-000640,LEAD-000640,high
HS-000641,LEAD-000641,high
HS-000642,LEAD-000642,high
HS-000643,LEAD-000643,high
HS-000644,LEAD-000644,high
HS-000645,LEAD-000645,high
HS-000646,LEAD-000646,high
HS-000647,,low
HS-000648,LEAD-000648,high
HS-000649,LEAD-000649,high
HS-000650,LEAD-000650,high
HS-000651,LEAD-000651,high
HS-000652,LEAD-000652,high
HS-000653,LEAD-000653,high
HS-000654,LEAD-000654,high
HS-000655,LEAD-000655,high
HS-000656,LEAD-000656,high
HS-000657,LEAD-000657,high
HS-000658,LEAD-000658,high
HS-000659,LEAD-000659,high
HS-000660,LEAD-000660,high
HS-000661,LEAD-000661,high
HS-000662,LEAD-000662,high
HS-000663,LEAD-000663,high
HS-000664,LEAD-000664,high
HS-000665,,low
HS-000666,LEAD-000666,high
HS-000667,LEAD-000667,high
HS-000668,,low
HS-000669,LEAD-000669,high
HS-000670,LEAD-000670,high
HS-000671,LEAD-000671,high
HS-000672,LEAD-000672,high
HS-000673,LEAD-000673,high
HS-000674,LEAD-000674,high
HS-000675,LEAD-000675,high
HS-000676,LEAD-000676,high
HS-000677,LEAD-000677,high
HS-000678,LEAD-000678,high
HS-000679,LEAD-000679,high
HS-000680,LEAD-000680,high
HS-000681,LEAD-000681,high
HS-000682,LEAD-000682,high
HS-000683,LEAD-000683,high
HS-000684,LEAD-000684,high
HS-000685,LEAD-000685,high
HS-000686,LEAD-000686,high
HS-000687,LEAD-000687,high
HS-000688,LEAD-000688,high
HS-000689,LEAD-000689,high
HS-000690,LEAD-000690,high
HS-000691,LEAD-000691,high
HS-000692,LEAD-000692,high
HS-000693,LEAD-000693,high
HS-000694,LEAD-000694,high
HS-000695,LEAD-000695,high
HS-000696,LEAD-000696,high
HS-000697,LEAD-000697,high
HS-000698,LEAD-000698,high
HS-000699,LEAD-000699,high
HS-000700,LEAD-000700,high
HS-000701,LEAD-000701,high
HS-000702,LEAD-000702,high
HS-000703,LEAD-000703,high
HS-000704,LEAD-000704,high
HS-000705,LEAD-000705,high
HS-000706,LEAD-000706,high
HS-000707,LEAD-000707,high
HS-000708,LEAD-000708,high
HS-000709,LEAD-000709,high
HS-000710,,low
HS-000711,,low
HS-000712,LEAD-000712,high
HS-000713,LEAD-000713,high
HS-000714,LEAD-000714,high
HS-000715,LEAD-000715,high
HS-000716,LEAD-000716,high
HS-000717,LEAD-000717,high
HS-000718,LEAD-000718,high
HS-000719,LEAD-000719,high
HS-000720,LEAD-000720,high
HS-000721,LEAD-000721,high
HS-000722,LEAD-000722,high
HS-000723,LEAD-000723,high
HS-000724,LEAD-000724,high
HS-000725,LEAD-000725,high
HS-000726,LEAD-000726,high
HS-000727,LEAD-000727,high
HS-000728,LEAD-000728,high
HS-000729,LEAD-000729,high
HS-000730,LEAD-000730,high
HS-000731,LEAD-000731,high
HS-000732,LEAD-000732,high
HS-000733,LEAD-000733,high
HS-000734,LEAD-000734,high
HS-000735,LEAD-000735,high
HS-000736,LEAD-000736,high
HS-000737,LEAD-000737,high
HS-000738,LEAD-000738,high
HS-000739,LEAD-000739,high
HS-000740,LEAD-000740,high
HS-000741,LEAD-000741,high
HS-000742,LEAD-000742,high
HS-000743,LEAD-000743,high
HS-000744,LEAD-000744,high
HS-000745,LEAD-000745,high
HS-000746,LEAD-000746,high
HS-000747,LEAD-000747,high
HS-000748,LEAD-000748,high
HS-000749,LEAD-000749,high
HS-000750,LEAD-000750,high
HS-000751,LEAD-000751,high
HS-000752,LEAD-000752,high
HS-000753,LEAD-000753,high
HS-000754,LEAD-000754,high
HS-000755,LEAD-000755,high
HS-000756,LEAD-000756,high
HS-000757,LEAD-000757,high
HS-000758,LEAD-000758,high
HS-000759,LEAD-000759,high
HS-000760,LEAD-000760,high
HS-000761,LEAD-000761,high
HS-000762,LEAD-000762,high
HS-000763,LEAD-000763,high
HS-000764,LEAD-000764,high
HS-000765,LEAD-000765,high
HS-000766,LEAD-000766,high
HS-000767,LEAD-000767,high
HS-000768,LEAD-000768,high
HS-000769,LEAD-000769,high
HS-000770,LEAD-000770,high
HS-000771,LEAD-000771,high
HS-000772,LEAD-000772,high
HS-000773,LEAD-000773,high
HS-000774,LEAD-000774,high
HS-000775,LEAD-000775,high
HS-000776,,low
HS-000777,LEAD-000777,high
HS-000778,LEAD-000778,high
HS-000779,LEAD-000779,high
HS-000780,LEAD-000780,high
HS-000781,LEAD-000781,high
HS-000782,,low
HS-000783,LEAD-000783,high
HS-000784,LEAD-000784,high
HS-000785,LEAD-000785,high
HS-000786,LEAD-000786,high
HS-000787,LEAD-000787,high
HS-000788,LEAD-000788,high
HS-000789,LEAD-000789,high
HS-000790,LEAD-000790,high
HS-000791,LEAD-000791,high
HS-000792,LEAD-000792,high
HS-000793,LEAD-000793,high
HS-000794,LEAD-000794,high
HS-000795,LEAD-000795,high
HS-000796,LEAD-000796,high
HS-000797,LEAD-000797,high
HS-000798,,low
HS-000799,LEAD-000799,high
HS-000800,LEAD-000800,high
HS-000801,LEAD-000801,high
HS-000802,LEAD-000802,high
HS-000803,LEAD-000803,high
HS-000804,,low
HS-000805,LEAD-000805,high
HS-000806,LEAD-000806,high
HS-000807,LEAD-000807,high
HS-000808,LEAD-000808,high
HS-000809,LEAD-000809,high
HS-000810,LEAD-000810,high
HS-000811,LEAD-000811,high
HS-000812,LEAD-000812,high
HS-000813,LEAD-000813,high
HS-000814,LEAD-000814,high
HS-000815,LEAD-000815,high
HS-000816,LEAD-000816,high
HS-000817,LEAD-000817,high
HS-000818,LEAD-000818,high
HS-000819,LEAD-000819,high
HS-000820,LEAD-000820,high
HS-000821,LEAD-000821,high
HS-000822,LEAD-000822,high
HS-000823,LEAD-000823,high
HS-000824,LEAD-000824,high
HS-000825,LEAD-000825,high
HS-000826,LEAD-000826,high
HS-000827,LEAD-000827,high
HS-000828,LEAD-000828,high
HS-000829,LEAD-000829,high
HS-000830,LEAD-000830,high
HS-000831,LEAD-000831,high
HS-000832,LEAD-000832,high
HS-000833,LEAD-000833,high
HS-000834,LEAD-000834,high
HS-000835,LEAD-000835,high
HS-000836,LEAD-000836,high
HS-000837,LEAD-000837,high
HS-000838,LEAD-000838,high
HS-000839,LEAD-000839,high
HS-000840,LEAD-000840,high
HS-000841,LEAD-000841,high
HS-000842,LEAD-000842,high
HS-000843,LEAD-000843,high
HS-000844,LEAD-000844,high
HS-000845,LEAD-000845,high
HS-000846,LEAD-000846,high
HS-000847,LEAD-000847,high
HS-000848,,low
HS-000849,LEAD-000849,high
HS-000850,LEAD-000850,high
HS-000851,LEAD-000851,high
HS-000852,LEAD-000852,high
HS-000853,LEAD-000853,high
HS-000854,LEAD-000854,high
HS-000855,LEAD-000855,high
HS-000856,LEAD-000856,high
HS-000857,,low
HS-000858,LEAD-000858,high
HS-000859,,low
HS-000860,LEAD-000860,high
HS-000861,LEAD-000861,high
HS-000862,LEAD-000862,high
HS-000863,LEAD-000863,high
HS-000864,LEAD-000864,high
HS-000865,LEAD-000865,high
HS-000866,LEAD-000866,high
HS-000867,LEAD-000867,high
HS-000868,LEAD-000868,high
HS-000869,LEAD-000869,high
HS-000870,,low
HS-000871,LEAD-000871,high
HS-000872,LEAD-000872,high
HS-000873,LEAD-000873,high
HS-000874,LEAD-000874,high
HS-000875,LEAD-000875,high
HS-000876,LEAD-000876,high
HS-000877,LEAD-000877,high
HS-000878,LEAD-000878,high
HS-000879,LEAD-000879,high
HS-000880,LEAD-000880,high
HS-000881,LEAD-000881,high
HS-000882,,low
HS-000883,,low
HS-000884,LEAD-000884,high
HS-000885,LEAD-000885,high
HS-000886,LEAD-000886,high
HS-000887,LEAD-000887,high
HS-000888,LEAD-000888,high
HS-000889,LEAD-000889,high
HS-000890,LEAD-000890,high
HS-000891,LEAD-000891,high
HS-000892,LEAD-000892,high
HS-000893,LEAD-000893,high
HS-000894,LEAD-000894,high
HS-000895,LEAD-000895,high
HS-000896,LEAD-000896,high
HS-000897,LEAD-000897,high
HS-000898,LEAD-000898,high
HS-000899,LEAD-000899,high
HS-000900,LEAD-000900,high
HS-000901,LEAD-000901,high
HS-000902,LEAD-000902,high
HS-000903,LEAD-000903,high
